"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.4194670401814,5873.52068629557,366
"2002/2003",2003,120,120,100,85.90738285718,4643.58679229768,373
"2003/2004",2004,120,120,100,85.5269329343208,2659.04146800991,564
"2004/2005",2005,121,121,100,88.2679226301074,3911.97248891604,284
"2005/2006",2006,120,120,100,86.9171100077036,5838.92294202105,181
"2006/2007",2007,120,120,100,85.5850650344479,4389.47132136679,395
"2007/2008",2008,120,120,100,81.6485027370484,2762.46901322441,586
"2008/2009",2009,121,121,100,84.5526374421313,3625.22054858401,537
"2009/2010",2010,120,120,100,87.0145501771358,3953.67529131717,365
"2010/2011",2011,120,120,100,89.6757218926182,3731.57940025174,194
"2011/2012",2012,120,120,100,86.8496185918771,3258.44439515413,325
"2012/2013",2013,121,121,100,87.7330468557061,3598.63090863882,493
"2013/2014",2014,120,120,100,82.0872315623799,3160.15769901103,511
"2014/2015",2015,120,120,100,70.4927223397328,4371.57518878544,1018
"2015/2016",2016,120,120,100,87.8420314722662,4036.93332135875,285
"2016/2017",2017,121,121,100,79.8916852858138,5472.59024306515,489
"2017/2018",2018,120,120,100,78.3284705434298,4803.22369222622,600
"2018/2019",2019,120,120,100,77.1724525461373,2792.92496231664,684
"2019/2020",2020,120,120,100,84.1769145406047,5134.86759692268,407
"2020/2021",2021,121,121,100,84.3990439497848,5920.63672019821,292
"2021/2022",2022,120,120,100,78.3938520370239,2779.86920066201,774
"2022/2023",2023,120,120,100,82.0971922243721,4337.25098721916,468
"2023/2024",2024,120,120,100,90.6268926685675,4707.29275028477,152
"2024/2025",2025,121,121,100,91.5234727307516,4593.15893148165,196
"2025/2026",2026,120,120,100,84.9125324845031,4729.32816863782,377
"2026/2027",2027,120,120,100,77.583583104954,2313.72781643365,1033
"2027/2028",2028,120,120,100,83.8995601989573,4169.55147302849,444
"2028/2029",2029,121,121,100,87.2736142752615,2790.93543773051,455
"2029/2030",2030,120,120,100,84.653614420341,3375.48522738693,454
"2030/2031",2031,120,120,100,86.1720129970909,4813.25591752282,358
"2031/2032",2032,120,120,100,82.9260482982781,3557.16558650834,552
"2032/2033",2033,121,121,100,84.650827027589,3794.2528293787,426
"2033/2034",2034,120,120,100,84.8070247833884,2701.75121680461,615
"2034/2035",2035,120,120,100,79.6266790017717,2726.74807178369,690
"2035/2036",2036,120,120,100,84.2916738832919,4155.43642771151,360
"2036/2037",2037,121,121,100,87.2076332572151,4411.11752698524,399
"2037/2038",2038,120,120,100,81.3918567975879,2050.42654907284,683
"2038/2039",2039,120,120,100,85.2382005987029,5064.39125191793,384
"2039/2040",2040,120,120,100,89.7134848330761,6131.33108816342,155
"2040/2041",2041,121,121,100,89.7754004913077,4061.66653411742,264
"2041/2042",2042,120,120,100,89.4791378275095,2645.63611862483,312
"2042/2043",2043,120,120,100,82.0672036036922,7766.22524599684,278
"2043/2044",2044,120,120,100,83.9555699278581,1966.67506755143,485
"2044/2045",2045,121,121,100,88.6324387185787,3439.41029072134,273
"2045/2046",2046,120,120,100,80.9545319666504,2690.15380456252,702
"2046/2047",2047,120,120,100,83.7790753016789,2946.86537485011,496
"2047/2048",2048,120,120,100,82.3326397065057,3073.97714236612,606
"2048/2049",2049,121,121,100,91.5102706212419,2974.65191729786,296
"2049/2050",2050,120,120,100,84.2465040812722,1950.13493053662,512
"2050/2051",2051,120,120,100,81.5507787679535,1527.91070617409,589
"2051/2052",2052,120,120,100,81.8646907542061,4250.26601711893,464
"2052/2053",2053,121,121,100,82.8165074458784,5270.48708841531,431
"2053/2054",2054,120,120,100,86.4620892012344,5444.31925405236,325
"2054/2055",2055,120,120,100,89.1000607808282,4881.50423966395,208
"2055/2056",2056,120,120,100,85.4565470731995,3591.39201300172,422
"2056/2057",2057,121,121,100,80.6932735757628,5220.5835254658,288
"2057/2058",2058,120,120,100,81.1265852266897,3971.80638753343,592
"2058/2059",2059,120,120,100,86.7717960361279,4749.57496291306,199
"2059/2060",2060,120,120,100,79.5245989047653,2435.96939845383,711
"2060/2061",2061,121,121,100,87.3217983124196,4935.16841861466,308
"2061/2062",2062,120,120,100,74.5845191548196,6133.35494740866,522
"2062/2063",2063,120,120,100,81.1173797685842,2306.29329252569,643
"2063/2064",2064,120,120,100,85.5927261470988,2031.13555727201,603
"2064/2065",2065,121,121,100,82.4678131030778,4234.23655368015,591
"2065/2066",2066,120,120,100,86.5153574287669,4663.31391976262,405
"2066/2067",2067,120,120,100,89.6932876940064,3600.36307772528,187
"2067/2068",2068,120,120,100,83.3536431406665,2250.52730396762,696
"2068/2069",2069,121,121,100,85.3055425871371,6691.41774309427,359
"2069/2070",2070,120,120,100,81.8962980961496,4100.72090091929,559
"2070/2071",2071,120,120,100,82.5931574631832,3748.52846326679,472
"2071/2072",2072,120,120,100,85.4076979447636,3491.14881016221,415
"2072/2073",2073,121,121,100,84.9644836934021,5263.33883933816,345
"2073/2074",2074,120,120,100,84.1969483773373,5905.78520710301,284
"2074/2075",2075,120,120,100,73.0207147157053,6135.47442733403,594
"2075/2076",2076,120,120,100,82.7200847955719,5696.34482693113,485
"2076/2077",2077,121,121,100,89.5181591424389,5319.99933252856,164
"2077/2078",2078,120,120,100,83.9900175168641,2005.86965329666,592
"2078/2079",2079,120,120,100,81.4574280401994,2232.93258083425,690
"2079/2080",2080,120,120,100,88.0703998445188,3757.14449268207,314
"2080/2081",2081,121,121,100,89.2992369652784,5050.32335494552,163
"2081/2082",2082,120,120,100,84.4950985309806,4579.53260220867,446
"2082/2083",2083,120,120,100,85.9975624086564,4069.0011493396,280
"2083/2084",2084,120,120,100,84.9459571408079,5701.99635668844,326
"2084/2085",2085,121,121,100,80.4627251717066,2472.30461435206,662
"2085/2086",2086,120,120,100,84.0078301836857,3357.57566654589,442
"2086/2087",2087,120,120,100,85.844796701922,3185.55837236159,521
"2087/2088",2088,120,120,100,86.9007262463001,2873.7537300922,383
"2088/2089",2089,121,121,100,82.8354278079732,4144.87184585817,550
"2089/2090",2090,120,120,100,88.8246169641734,2865.89221042115,400
"2090/2091",2091,120,120,100,82.999715900416,1786.17638676893,650
"2091/2092",2092,120,120,100,83.6018708811589,2874.37707020342,578
"2092/2093",2093,121,121,100,84.6853159642869,2228.4353877306,567
"2093/2094",2094,120,120,100,85.6110569451284,5173.7424627794,408
"2094/2095",2095,120,120,100,85.5818017510701,4171.83572770748,543
"2095/2096",2096,120,120,100,89.5679194715467,3176.85726749618,287
"2096/2097",2097,121,121,100,83.872069495359,6418.93496411946,203
"2097/2098",2098,120,120,100,77.3993565151468,5852.29015668854,479
