"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.1970998020773,8167.56914367307,275
"2002/2003",2003,120,120,100,82.5996835057941,7251.67089438418,354
"2003/2004",2004,120,120,100,85.754628968214,4274.90231044393,475
"2004/2005",2005,121,121,100,89.7363762107511,5357.95406446129,211
"2005/2006",2006,120,120,100,88.5179467388136,7384.75754377519,84
"2006/2007",2007,120,120,100,83.6008711547045,6204.0242829459,322
"2007/2008",2008,120,120,100,80.0070931634299,4525.04217311251,510
"2008/2009",2009,121,121,100,86.6206132661189,5213.64812244836,411
"2009/2010",2010,120,120,100,87.4334814107551,5731.97298016772,293
"2010/2011",2011,120,120,100,90.5704821633008,4984.41001480224,99
"2011/2012",2012,120,120,100,86.7279083967478,4994.89589313639,209
"2012/2013",2013,121,121,100,83.8656242509414,5834.67658744182,446
"2013/2014",2014,120,120,100,85.0289939130898,4295.11334971711,324
"2014/2015",2015,120,120,100,68.3236705008699,6404.06422247796,901
"2015/2016",2016,120,120,100,85.2003426694253,6347.33235266432,256
"2016/2017",2017,121,121,100,80.2906846135761,7523.98055536603,400
"2017/2018",2018,120,120,100,76.5303646720286,6935.15368512203,530
"2018/2019",2019,120,120,100,77.3115397420106,4579.92624483956,610
"2019/2020",2020,120,120,100,82.7031144000111,7170.51586717414,271
"2020/2021",2021,121,121,100,85.1455847463853,7887.43524787715,207
"2021/2022",2022,120,120,100,79.6981747360278,4347.52931660553,625
"2022/2023",2023,120,120,100,79.3228144795939,6396.65010838979,340
"2023/2024",2024,120,120,100,87.6888414311634,7087.00129265222,110
"2024/2025",2025,121,121,100,88.9702285681474,6514.34366364288,105
"2025/2026",2026,120,120,100,86.0550595597542,6219.19250506978,212
"2026/2027",2027,120,120,100,78.3423907943243,3199.21204837435,774
"2027/2028",2028,120,120,100,82.7332358616814,5752.93702295446,299
"2028/2029",2029,121,121,100,86.8916457774503,4483.88732406474,386
"2029/2030",2030,120,120,100,83.705590232114,5280.1953121298,380
"2030/2031",2031,120,120,100,83.868605045926,7141.51745564304,287
"2031/2032",2032,120,120,100,80.4481979737652,5731.42028386565,477
"2032/2033",2033,121,121,100,85.7589332099014,5331.28885234846,316
"2033/2034",2034,120,120,100,85.5127229971895,4108.30014318135,460
"2034/2035",2035,120,120,100,77.6022061900203,4525.50960383005,598
"2035/2036",2036,120,120,100,81.9459265647747,6126.15454398142,281
