"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,84.2039396823883,6745.34245438368,338
"2002/2003",2003,120,120,100,86.6881341321119,5165.35847573697,338
"2003/2004",2004,120,120,100,85.3537877406943,3273.86388143859,476
"2004/2005",2005,121,121,100,88.8810135883017,4676.79373235122,248
"2005/2006",2006,120,120,100,84.9068963671634,7018.49718957319,159
"2006/2007",2007,120,120,100,85.8863976000224,5198.06217495824,358
"2007/2008",2008,120,120,100,83.6782987454368,3122.29562048736,500
"2008/2009",2009,121,121,100,85.5700252770405,4386.35721157782,499
"2009/2010",2010,120,120,100,85.573221744057,4827.06966223789,308
"2010/2011",2011,120,120,100,87.3791470858782,4737.82109184773,182
"2011/2012",2012,120,120,100,87.8885174703646,3911.66195276764,253
"2012/2013",2013,121,121,100,88.435867459249,4126.5636523196,402
"2013/2014",2014,120,120,100,82.8540943543132,3797.89432841027,446
"2014/2015",2015,120,120,100,74.7761951409302,4431.35288788786,831
"2015/2016",2016,120,120,100,88.0517918564958,4596.81672425522,230
"2016/2017",2017,121,121,100,81.3408831430838,6170.05799812055,430
"2017/2018",2018,120,120,100,79.1468017099578,5343.04684933485,529
"2018/2019",2019,120,120,100,80.5701099085818,2979.4973911189,617
"2019/2020",2020,120,120,100,84.8072863495199,5946.13237603055,351
"2020/2021",2021,121,121,100,84.2050063395782,6941.5944804335,282
"2021/2022",2022,120,120,100,80.7412293899247,3107.75456173648,705
"2022/2023",2023,120,120,100,83.7488894417311,4700.91870374675,395
"2023/2024",2024,120,120,100,90.0296759000207,5475.01555303135,123
"2024/2025",2025,121,121,100,90.4760490951212,5422.23021093872,155
"2025/2026",2026,120,120,100,83.5127908027707,5671.01753487275,338
"2026/2027",2027,120,120,100,78.6780529730145,2906.18152611516,978
"2027/2028",2028,120,120,100,85.7914967753672,4840.05964336568,395
"2028/2029",2029,121,121,100,87.1186525340263,3385.80155997304,400
"2029/2030",2030,120,120,100,86.7455404011653,3873.09143370902,373
"2030/2031",2031,120,120,100,87.2422090346345,5621.40046310122,314
"2031/2032",2032,120,120,100,83.6238828475871,4067.36691564089,503
"2032/2033",2033,121,121,100,86.7008796404607,4530.23468441376,385
"2033/2034",2034,120,120,100,86.284201991878,3266.92684792029,552
"2034/2035",2035,120,120,100,81.6174111607306,2977.85830744961,640
"2035/2036",2036,120,120,100,86.6042456715777,4648.82466659788,309
"2036/2037",2037,121,121,100,87.7739155110876,5045.2145190523,350
"2037/2038",2038,120,120,100,82.4608810359996,2439.77218543598,589
"2038/2039",2039,120,120,100,84.9420455770869,5888.82012515143,354
"2039/2040",2040,120,120,100,88.4935572384484,6983.77237681765,94
"2040/2041",2041,121,121,100,90.2838293160412,4599.54115632549,206
"2041/2042",2042,120,120,100,90.5066603307505,3181.14135539997,239
"2042/2043",2043,120,120,100,82.9115194400638,8625.79369059857,245
"2043/2044",2044,120,120,100,85.918368991287,2467.10602652095,449
"2044/2045",2045,121,121,100,89.4000530538997,3987.83740657987,234
"2045/2046",2046,120,120,100,85.4315042852104,2947.1252235556,612
"2046/2047",2047,120,120,100,83.5987258893165,3272.00048348121,433
"2047/2048",2048,120,120,100,83.2967718437258,3542.33170413971,544
"2048/2049",2049,121,121,100,90.5540210766067,3609.21572547499,244
"2049/2050",2050,120,120,100,87.1616231306189,2307.91479970608,411
"2050/2051",2051,120,120,100,82.6272877114161,1859.55274839792,513
"2051/2052",2052,120,120,100,84.0376503172783,4754.73062178679,420
"2052/2053",2053,121,121,100,84.3690870842238,5824.48567854892,375
"2053/2054",2054,120,120,100,87.1698207811123,6393.98227921594,313
"2054/2055",2055,120,120,100,89.4846495434913,5658.82144375006,156
"2055/2056",2056,120,120,100,86.4257056583665,3958.43511476181,339
"2056/2057",2057,121,121,100,83.6360283678796,5728.48170091817,237
"2057/2058",2058,120,120,100,81.9991833831036,4610.11733205942,525
"2058/2059",2059,120,120,100,87.6998746527443,5669.76039690524,178
"2059/2060",2060,120,120,100,81.6555085566979,2676.95897253091,620
"2060/2061",2061,121,121,100,87.6620063892333,5631.18452940276,263
"2061/2062",2062,120,120,100,77.0053197728594,6615.09060775023,394
"2062/2063",2063,120,120,100,81.6692525111721,2874.56023408473,594
"2063/2064",2064,120,120,100,87.3086117461535,2559.07203241996,565
"2064/2065",2065,121,121,100,81.367233774401,5135.67861712072,566
"2065/2066",2066,120,120,100,82.989258261814,5666.18941131234,394
"2066/2067",2067,120,120,100,89.7796108312705,4165.36592370458,134
"2067/2068",2068,120,120,100,83.1845489917978,2848.76378087793,639
"2068/2069",2069,121,121,100,81.5477158575613,7841.71715976857,332
"2069/2070",2070,120,120,100,82.5372592306085,4635.28050839808,492
"2070/2071",2071,120,120,100,82.4103281879288,4420.8385127075,419
"2071/2072",2072,120,120,100,85.9924072169742,4044.16213820968,325
"2072/2073",2073,121,121,100,82.4094645294481,6031.4823015118,295
"2073/2074",2074,120,120,100,84.0458790897501,6905.6181035703,259
"2074/2075",2075,120,120,100,74.3114711197286,6572.53497108817,543
"2075/2076",2076,120,120,100,82.4935184037149,6488.3107246412,397
"2076/2077",2077,121,121,100,87.7418056760089,6367.76345543098,145
"2077/2078",2078,120,120,100,86.3554198733455,2421.33072852436,493
"2078/2079",2079,120,120,100,81.4889920222067,2902.76752162073,666
"2079/2080",2080,120,120,100,86.9039930203853,4573.10472532734,290
"2080/2081",2081,121,121,100,88.2769320241005,6038.05210259371,163
"2081/2082",2082,120,120,100,86.0119356594205,5251.17326911073,365
"2082/2083",2083,120,120,100,85.8966681002712,4562.57153069694,222
"2083/2084",2084,120,120,100,86.1376141390992,6492.17576198094,286
"2084/2085",2085,121,121,100,80.4865109101811,3006.63118954282,571
"2085/2086",2086,120,120,100,84.1173605669501,3961.88549718447,390
"2086/2087",2087,120,120,100,86.2032116720275,3545.30652500223,468
"2087/2088",2088,120,120,100,88.4091442416229,3311.35666944459,293
"2088/2089",2089,121,121,100,84.6587193694177,4652.82375384029,513
"2089/2090",2090,120,120,100,89.3690098896386,3371.16452508792,339
"2090/2091",2091,120,120,100,84.5741836588277,2246.51866643317,590
"2091/2092",2092,120,120,100,86.1729418020386,3236.93737925403,461
"2092/2093",2093,121,121,100,86.2146489220904,2659.36830885708,471
"2093/2094",2094,120,120,100,85.5322063251388,5768.04086657334,352
"2094/2095",2095,120,120,100,86.4734333743309,4635.39292494673,487
"2095/2096",2096,120,120,100,90.7654509713539,3837.95204065274,242
"2096/2097",2097,121,121,100,83.6987895853817,7028.41287024226,166
"2097/2098",2098,120,120,100,78.796729822272,6230.50488431659,402
"2098/2099",2099,120,120,100,83.9909583904519,3806.63689911366,473
"2099/2100",2100,120,120,100,83.4330807032638,4311.57160744723,497
