"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.8864289403737,6139.16105263626,355
"2002/2003",2003,120,120,100,86.2002634156271,5094.964381721,392
"2003/2004",2004,120,120,100,86.5130454680905,2879.32361665319,595
"2004/2005",2005,121,121,100,89.2241933114055,3954.97992285818,286
"2005/2006",2006,120,120,100,87.4401134146622,5878.60081224347,171
"2006/2007",2007,120,120,100,84.9472839153643,4676.63353225327,407
"2007/2008",2008,120,120,100,81.8331627684216,3013.57723407855,613
"2008/2009",2009,121,121,100,84.7451611678323,3771.59957531234,508
"2009/2010",2010,120,120,100,85.8505428610397,4185.73740129313,377
"2010/2011",2011,120,120,100,89.1119802237288,3854.61301245179,172
"2011/2012",2012,120,120,100,86.4024171197252,3463.30624697707,300
"2012/2013",2013,121,121,100,87.3440609028128,4048.22878507967,531
"2013/2014",2014,120,120,100,83.3259145049497,3233.79558174708,486
"2014/2015",2015,120,120,100,71.1462210178745,4735.86515421642,1034
"2015/2016",2016,120,120,100,87.1577131374981,4384.2192295891,308
"2016/2017",2017,121,121,100,79.8409827039386,5888.76606163708,510
"2017/2018",2018,120,120,100,78.1296583675926,5062.66009558667,599
"2018/2019",2019,120,120,100,78.357065007051,3084.02685649996,700
"2019/2020",2020,120,120,100,85.7526323477114,5434.81662168354,393
"2020/2021",2021,121,121,100,86.4584396254822,6141.14326810883,269
"2021/2022",2022,120,120,100,80.1963604970119,3104.34395080735,789
"2022/2023",2023,120,120,100,81.5053466722998,4706.01844089013,476
"2023/2024",2024,120,120,100,89.9159853367005,5085.27923361701,171
"2024/2025",2025,121,121,100,89.1086734822884,4741.88884322648,189
"2025/2026",2026,120,120,100,85.1057224728233,4753.4451401995,340
"2026/2027",2027,120,120,100,77.727585960638,2296.09782952792,988
"2027/2028",2028,120,120,100,84.6076115892106,4296.90120969363,426
"2028/2029",2029,121,121,100,86.1681264698136,3130.7918798842,490
"2029/2030",2030,120,120,100,83.7302485960399,3708.43602532381,481
"2030/2031",2031,120,120,100,86.7080210838349,5164.92039878969,356
"2031/2032",2032,120,120,100,81.3456639036422,3969.73049865803,551
"2032/2033",2033,121,121,100,85.8150412208734,3996.72279466689,447
"2033/2034",2034,120,120,100,84.3936335794388,2846.72211452853,610
"2034/2035",2035,120,120,100,79.3130913288969,3058.13526712684,706
"2035/2036",2036,120,120,100,84.3244640658531,4435.0349334795,368
"2036/2037",2037,121,121,100,87.8788037105642,4665.51527883159,380
"2037/2038",2038,120,120,100,81.5135158886569,2209.73510747403,692
"2038/2039",2039,120,120,100,84.4977298971098,5368.4099663822,382
"2039/2040",2040,120,120,100,88.5124100139183,6461.83503540978,179
"2040/2041",2041,121,121,100,89.4516187433446,4387.61086429562,286
"2041/2042",2042,120,120,100,89.4384589811543,2820.65381523082,328
"2042/2043",2043,120,120,100,82.4314225320077,8283.77875924809,301
"2043/2044",2044,120,120,100,85.1621750547965,2215.82508142525,506
"2044/2045",2045,121,121,100,88.1544774084387,3751.58384693228,277
"2045/2046",2046,120,120,100,82.2642354034597,3038.20023617707,712
"2046/2047",2047,120,120,100,82.6875126708483,3218.21813201718,520
"2047/2048",2048,120,120,100,81.2113420074338,3506.23174502607,621
"2048/2049",2049,121,121,100,89.6577575212732,3201.38745320728,276
"2049/2050",2050,120,120,100,84.610865962919,2263.31034879154,510
"2050/2051",2051,120,120,100,82.1398613880901,1678.46436028555,598
"2051/2052",2052,120,120,100,83.1314406996107,4357.64137339359,437
"2052/2053",2053,121,121,100,83.2059076216701,5643.83404919878,407
"2053/2054",2054,120,120,100,87.823966845267,5710.04111111863,321
"2054/2055",2055,120,120,100,87.9014395811628,5252.39706434309,218
"2055/2056",2056,120,120,100,84.2173521473878,3971.62444477342,431
"2056/2057",2057,121,121,100,81.754763868963,5450.43320421642,281
"2057/2058",2058,120,120,100,82.06804591942,4091.86542567192,588
"2058/2059",2059,120,120,100,87.4731897433658,5042.148025495,191
"2059/2060",2060,120,120,100,78.6342694276982,2811.51545026386,745
"2060/2061",2061,121,121,100,86.7541067448983,5284.54040459963,349
"2061/2062",2062,120,120,100,73.5394655626787,6488.72829555068,495
"2062/2063",2063,120,120,100,80.8497143512359,2561.61722597945,662
"2063/2064",2064,120,120,100,86.2562613735918,2311.2225430496,611
"2064/2065",2065,121,121,100,82.2140432159922,4595.72954971716,596
"2065/2066",2066,120,120,100,85.8217749802989,4648.61114377342,375
"2066/2067",2067,120,120,100,88.666818808435,3930.49014022667,219
"2067/2068",2068,120,120,100,83.7992968412054,2336.17658291943,684
"2068/2069",2069,121,121,100,85.4108519101956,6694.67143278476,356
"2069/2070",2070,120,120,100,80.8754311498742,4348.86029739212,568
"2070/2071",2071,120,120,100,83.270140281038,3917.31614403427,470
"2071/2072",2072,120,120,100,85.5209012033065,3779.25712604169,435
"2072/2073",2073,121,121,100,81.8984537046599,5667.67408579588,387
"2073/2074",2074,120,120,100,86.5221092279789,5942.73922196962,274
"2074/2075",2075,120,120,100,72.3902454878189,6465.09002315998,597
"2075/2076",2076,120,120,100,82.2920492603953,5956.059017919,466
"2076/2077",2077,121,121,100,89.5727535200404,5611.23608663026,158
"2077/2078",2078,120,120,100,82.797943071042,2230.67150236201,589
"2078/2079",2079,120,120,100,82.1794333674152,2281.93518930487,680
"2079/2080",2080,120,120,100,87.4878874118604,3883.82427189872,307
"2080/2081",2081,121,121,100,89.5911238268545,5300.31358407531,160
"2081/2082",2082,120,120,100,84.8844476607519,4974.70611431915,463
"2082/2083",2083,120,120,100,85.4169086463698,4484.58041482046,305
