"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.8942041884537,8493.56666796791,267
"2002/2003",2003,120,120,100,83.8620029486593,7215.3789843563,316
"2003/2004",2004,120,120,100,85.9625418339507,4358.06925267767,394
"2004/2005",2005,121,121,100,89.1224801141064,5854.51776367362,188
"2005/2006",2006,120,120,100,86.5412378734612,8120.68769815855,90
"2006/2007",2007,120,120,100,84.6736267531455,6548.18187397544,306
"2007/2008",2008,120,120,100,82.3872023208207,4613.82904173096,448
"2008/2009",2009,121,121,100,84.7137384624696,5645.2664038646,419
"2009/2010",2010,120,120,100,87.2256198043776,5931.65635625704,248
"2010/2011",2011,120,120,100,90.3719367627273,5501.87028332532,100
"2011/2012",2012,120,120,100,85.434637930689,5311.40009372868,191
"2012/2013",2013,121,121,100,85.320386155711,5693.95785065659,359
"2013/2014",2014,120,120,100,84.6210390814213,4754.42351771856,339
"2014/2015",2015,120,120,100,69.1191241482845,6381.93421857874,780
"2015/2016",2016,120,120,100,84.9229642717703,6436.97331669368,202
"2016/2017",2017,121,121,100,77.5073591388157,7802.72424714849,369
"2017/2018",2018,120,120,100,77.7356922118411,6962.78952960577,469
"2018/2019",2019,120,120,100,80.1572567734638,4459.53587895096,554
"2019/2020",2020,120,120,100,81.4266417508056,7579.68310557841,241
"2020/2021",2021,121,121,100,82.0087673457115,8418.61543584801,188
"2021/2022",2022,120,120,100,79.8575830305613,4434.12220550957,587
"2022/2023",2023,120,120,100,77.6087456173964,6561.94299274287,324
"2023/2024",2024,120,120,100,87.8492806729723,7310.24815035914,99
"2024/2025",2025,121,121,100,87.777928787928,7040.66835520975,97
"2025/2026",2026,120,120,100,83.549009354314,6688.47727855667,215
"2026/2027",2027,120,120,100,79.9364632266183,3484.61695805355,752
"2027/2028",2028,120,120,100,83.029786402059,6308.95588476723,294
"2028/2029",2029,121,121,100,86.4511087682354,4545.42807519436,322
"2029/2030",2030,120,120,100,85.0268224892579,5346.3011944266,317
"2030/2031",2031,120,120,100,84.8880729790071,7298.57928144652,252
"2031/2032",2032,120,120,100,81.1023313657138,5639.59539681766,451
"2032/2033",2033,121,121,100,86.0848937479441,5782.39565925533,305
"2033/2034",2034,120,120,100,85.769782207507,4296.29200950265,423
"2034/2035",2035,120,120,100,79.1247173964257,4494.85126620298,571
"2035/2036",2036,120,120,100,83.2870104805943,6295.89825164294,267
"2036/2037",2037,121,121,100,85.7202999446126,6823.41349006351,301
"2037/2038",2038,120,120,100,82.7449920752351,3448.4298652336,468
"2038/2039",2039,120,120,100,82.7251811519463,7494.99435368273,317
"2039/2040",2040,120,120,100,85.1443540803857,9106.78523263894,81
"2040/2041",2041,121,121,100,87.315547458752,6565.97879411979,173
"2041/2042",2042,120,120,100,90.6269177050744,4389.56208750186,172
"2042/2043",2043,120,120,100,76.7045179950965,11010.9480460868,244
"2043/2044",2044,120,120,100,87.4661395498324,3267.08631246444,330
"2044/2045",2045,121,121,100,89.1857747408048,5546.40756719932,206
"2045/2046",2046,120,120,100,83.5465931754079,4475.50470743608,563
"2046/2047",2047,120,120,100,82.7190858120766,4798.17977957241,392
"2047/2048",2048,120,120,100,82.9201212800135,5180.0714450893,491
"2048/2049",2049,121,121,100,89.7706261266467,4895.09563386114,165
"2049/2050",2050,120,120,100,86.9875838387552,3525.6200472503,345
"2050/2051",2051,120,120,100,83.9865581966669,2702.44554683892,375
"2051/2052",2052,120,120,100,79.7982084434416,6327.83981838915,322
"2052/2053",2053,121,121,100,78.531478723995,7953.32179165771,314
"2053/2054",2054,120,120,100,85.2256769210344,7959.27870496595,271
"2054/2055",2055,120,120,100,87.8375132783649,7379.60082546668,89
"2055/2056",2056,120,120,100,84.1839113896349,5831.19596406957,298
"2056/2057",2057,121,121,100,80.1438495014645,7406.83213634789,142
"2057/2058",2058,120,120,100,82.7956057160172,5925.52097445168,448
"2058/2059",2059,120,120,100,87.0342311179411,7179.68715187442,122
"2059/2060",2060,120,120,100,80.7876514149766,4171.34880494885,542
"2060/2061",2061,121,121,100,86.7297971941298,7407.84296657518,219
"2061/2062",2062,120,120,100,74.3270179410365,8451.17497264687,288
"2062/2063",2063,120,120,100,85.9255545724473,3499.53173350729,468
"2063/2064",2064,120,120,100,87.5032563949071,3594.12577030528,404
"2064/2065",2065,121,121,100,82.5530707078615,6170.7366596302,432
"2065/2066",2066,120,120,100,87.227240098352,6501.34496507235,257
"2066/2067",2067,120,120,100,88.8319862949484,5853.83507392369,99
"2067/2068",2068,120,120,100,85.239796445192,3631.46481475048,497
"2068/2069",2069,121,121,100,80.6071157874485,9178.86135939974,244
"2069/2070",2070,120,120,100,81.8464013185112,6080.2574750958,400
"2070/2071",2071,120,120,100,83.1368396190974,5808.80989489798,365
"2071/2072",2072,120,120,100,85.1189790143708,5557.34278594982,272
"2072/2073",2073,121,121,100,81.0766894037588,7494.51443764195,237
"2073/2074",2074,120,120,100,80.7731024255572,8384.39750085119,225
"2074/2075",2075,120,120,100,73.8986198514413,8346.81421207357,526
"2075/2076",2076,120,120,100,78.2382074799607,8301.66945356503,334
"2076/2077",2077,121,121,100,86.4238143318362,7852.60845296271,84
"2077/2078",2078,120,120,100,87.5302374746043,3321.23982339446,375
