"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,69.4794751756995,13598.5500884605,147
"2002/2003",2003,120,120,100,73.1996581877817,12360.5584072823,241
"2003/2004",2004,120,120,100,83.9193284013928,8036.98964651398,232
"2004/2005",2005,121,121,100,84.4724276959515,10096.6118823089,88
"2005/2006",2006,120,120,100,73.508351544842,13386.0328051579,28
"2006/2007",2007,120,120,100,77.97133980485,11518.2302125226,249
"2007/2008",2008,120,120,100,77.6013304755164,8026.96929014113,185
"2008/2009",2009,121,121,100,83.3478874278914,9584.85437967279,186
"2009/2010",2010,120,120,100,78.1805394953244,10839.2075778299,189
"2010/2011",2011,120,120,100,81.6493495110353,10245.1417051021,64
"2011/2012",2012,120,120,100,84.9426048648083,9350.1337198955,102
"2012/2013",2013,121,121,100,76.5418926392745,10637.2238532035,228
"2013/2014",2014,120,120,100,83.2403263449676,8441.39239493245,195
"2014/2015",2015,120,120,100,68.2758623176196,9775.33483073593,471
"2015/2016",2016,120,120,100,77.0503772997911,11248.7137629201,140
"2016/2017",2017,121,121,100,68.3598535513734,12548.8974985615,238
"2017/2018",2018,120,120,100,72.4121972392413,11140.5246449925,285
"2018/2019",2019,120,120,100,76.3671137166859,8082.19413595879,336
"2019/2020",2020,120,120,100,72.8914940551836,12144.4516413067,96
"2020/2021",2021,121,121,100,72.147211170779,13472.7174918617,80
"2021/2022",2022,120,120,100,75.74331131494,7926.84518449078,410
"2022/2023",2023,120,120,100,73.0966599767644,10830.1755702919,181
"2023/2024",2024,120,120,100,73.2222420256276,12756.4321541903,42
"2024/2025",2025,121,121,100,77.5890170453426,11657.9533205575,33
"2025/2026",2026,120,120,100,77.7965737023815,10673.4811120071,60
"2026/2027",2027,120,120,100,82.6065687544528,5927.60631534969,427
"2027/2028",2028,120,120,100,78.8537247637496,10210.6223867242,123
"2028/2029",2029,121,121,100,83.5077332433898,8912.02930380264,238
"2029/2030",2030,120,120,100,78.803068272005,9837.48357077176,232
"2030/2031",2031,120,120,100,72.827197321943,12000.6672639432,120
"2031/2032",2032,120,120,100,76.8181324121842,9715.10158747295,273
"2032/2033",2033,121,121,100,81.863402919174,10230.9823141401,147
"2033/2034",2034,120,120,100,83.6695469584292,7899.64114048146,223
"2034/2035",2035,120,120,100,78.2025681456144,7992.29969179118,306
"2035/2036",2036,120,120,100,75.5087546735654,10442.778212517,139
"2036/2037",2037,121,121,100,76.2284135230843,11588.9031521077,211
"2037/2038",2038,120,120,100,84.2019950882818,6435.83204075322,258
"2038/2039",2039,120,120,100,72.0406535558673,12614.2523388774,226
"2039/2040",2040,120,120,100,70.3508991352601,14749.3178817667,40
"2040/2041",2041,121,121,100,80.4452986916403,11167.5789053221,99
"2041/2042",2042,120,120,100,86.9772631913884,8760.43401586451,87
"2042/2043",2043,120,120,100,56.4745799368475,17350.1584753911,225
"2043/2044",2044,120,120,100,84.6415353633902,7041.498013712,194
"2044/2045",2045,121,121,100,81.2558707248936,10543.4680329678,149
"2045/2046",2046,120,120,100,80.6556201175026,8516.72813437972,375
"2046/2047",2047,120,120,100,81.7351950107441,8421.96355183003,277
"2047/2048",2048,120,120,100,77.0978196965834,9768.72308220807,419
"2048/2049",2049,121,121,100,85.22914411075,9392.18736324692,98
"2049/2050",2050,120,120,100,84.1634675977366,7238.99491329817,234
"2050/2051",2051,120,120,100,85.7739693536623,5365.74514166871,222
"2051/2052",2052,120,120,100,78.9945834700466,9862.18949150387,133
"2052/2053",2053,121,121,100,72.2922501241965,12473.9924563048,182
"2053/2054",2054,120,120,100,72.406053058522,12850.699345265,142
"2054/2055",2055,120,120,100,75.2080285179673,12630.8058941658,22
"2055/2056",2056,120,120,100,76.7810889987695,10130.6764304605,177
"2056/2057",2057,121,121,100,78.8374302327948,11082.5240771612,57
"2057/2058",2058,120,120,100,77.9272791715848,9969.19423310878,287
"2058/2059",2059,120,120,100,78.1345097393487,12177.0755297858,32
"2059/2060",2060,120,120,100,77.8177730966099,7741.47695427109,373
"2060/2061",2061,121,121,100,73.6406811309935,12643.739266037,177
"2061/2062",2062,120,120,100,69.4941749216941,12931.7236275915,146
"2062/2063",2063,120,120,100,83.6678527444819,7249.22365027759,302
"2063/2064",2064,120,120,100,84.5882646270011,7156.83542051259,212
"2064/2065",2065,121,121,100,70.8714977036861,10993.506323697,258
"2065/2066",2066,120,120,100,79.8131873438388,10684.1411793763,103
"2066/2067",2067,120,120,100,81.3519279271632,10685.0484846625,56
"2067/2068",2068,120,120,100,84.7236107866347,6835.55499398801,305
"2068/2069",2069,121,121,100,69.370503795647,14379.62634419,138
"2069/2070",2070,120,120,100,76.0407545426551,10119.1926921969,248
"2070/2071",2071,120,120,100,78.0302392001786,10184.0825866871,232
"2071/2072",2072,120,120,100,80.8758258497037,9491.38930225838,130
"2072/2073",2073,121,121,100,71.464368306426,12427.0743773477,143
"2073/2074",2074,120,120,100,74.2075736715242,13287.976083532,170
"2074/2075",2075,120,120,100,69.3126353499774,12367.9440315459,409
"2075/2076",2076,120,120,100,69.0238973756832,12912.3129355153,176
"2076/2077",2077,121,121,100,74.9448487182417,13251.4850856252,29
"2077/2078",2078,120,120,100,84.96319260563,6813.30226551555,205
"2078/2079",2079,120,120,100,84.9802200457816,7158.43218685407,366
"2079/2080",2080,120,120,100,81.6445816286014,10264.4146144008,155
"2080/2081",2081,121,121,100,75.3739975921926,12552.0107558295,16
"2081/2082",2082,120,120,100,73.1335678330197,12314.3892774628,258
"2082/2083",2083,120,120,100,75.3580042436497,11285.3821367547,146
"2083/2084",2084,120,120,100,69.0152437288125,13952.1300424114,205
"2084/2085",2085,121,121,100,84.5018524781008,6955.60633263271,248
"2085/2086",2086,120,120,100,79.4390883368505,9934.17131676804,158
"2086/2087",2087,120,120,100,74.9660002858491,9772.77701799851,335
"2087/2088",2088,120,120,100,83.9215489030958,9025.83291457966,180
"2088/2089",2089,121,121,100,74.2261155935557,10973.5638540229,326
"2089/2090",2090,120,120,100,82.9717893175257,9649.9036704991,191
"2090/2091",2091,120,120,100,84.0526774166447,6584.93511829246,325
"2091/2092",2092,120,120,100,76.5132673335793,9182.42637436651,273
"2092/2093",2093,121,121,100,84.486609451671,7942.41653218307,219
"2093/2094",2094,120,120,100,70.0803344220076,12241.2553005628,149
"2094/2095",2095,120,120,100,71.6728516336898,11220.9571175873,242
"2095/2096",2096,120,120,100,78.0630898152376,10345.704799437,106
"2096/2097",2097,121,121,100,70.1358084096082,14606.6094343141,123
"2097/2098",2098,120,120,100,69.3497229477252,12629.5945797181,204
"2098/2099",2099,120,120,100,78.5652115407811,9924.91002608929,230
"2099/2100",2100,120,120,100,74.2112174991707,10101.700720855,294
