"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,69.5708825757005,12191.4615174645,174
"2002/2003",2003,120,120,100,75.2374432044825,11037.5164699407,270
"2003/2004",2004,120,120,100,86.0342592710607,7060.99875689452,246
"2004/2005",2005,121,121,100,86.2378278452979,8906.91156541149,115
"2005/2006",2006,120,120,100,80.5009584170451,11611.3466715363,20
"2006/2007",2007,120,120,100,78.7561164530299,9821.82901746052,249
"2007/2008",2008,120,120,100,78.863948237989,7325.55733301584,277
"2008/2009",2009,121,121,100,85.0495098650953,8536.34123821242,244
"2009/2010",2010,120,120,100,83.7597377768166,9209.96019976959,165
"2010/2011",2011,120,120,100,88.1810083241346,8379.68199289916,56
"2011/2012",2012,120,120,100,85.2529568676389,8268.11207100807,108
"2012/2013",2013,121,121,100,82.5227042666615,8989.46504485898,233
"2013/2014",2014,120,120,100,84.0341502131685,7300.0100849953,190
"2014/2015",2015,120,120,100,68.2431664489709,8991.0237403193,550
"2015/2016",2016,120,120,100,80.8157278063723,9975.87972956011,145
"2016/2017",2017,121,121,100,72.7632804646892,10974.2787681569,238
"2017/2018",2018,120,120,100,73.5324995140256,10254.8426409822,348
"2018/2019",2019,120,120,100,78.3930948315231,7099.24004557054,385
"2019/2020",2020,120,120,100,75.4617043773201,10868.4706792706,130
"2020/2021",2021,121,121,100,78.3386015042524,11985.4814050263,85
"2021/2022",2022,120,120,100,77.3660378601876,6755.49399768864,408
"2022/2023",2023,120,120,100,75.9434793553633,9515.75750264968,173
"2023/2024",2024,120,120,100,80.0800517273133,10967.5678043468,21
"2024/2025",2025,121,121,100,81.4225888626383,10478.4300468722,26
"2025/2026",2026,120,120,100,80.2629725905576,9804.50369703048,94
"2026/2027",2027,120,120,100,82.1819427945502,5553.74484029948,530
"2027/2028",2028,120,120,100,80.9576519597122,9246.03439949872,170
"2028/2029",2029,121,121,100,87.5252131690336,7347.74791058572,218
"2029/2030",2030,120,120,100,79.8100453820193,8402.06636191392,218
"2030/2031",2031,120,120,100,74.2449420419557,10959.0796046453,184
"2031/2032",2032,120,120,100,77.9863837024163,8764.07891191309,309
"2032/2033",2033,121,121,100,83.0027135403802,8780.17377635604,187
"2033/2034",2034,120,120,100,83.307062922393,6847.50149769336,263
"2034/2035",2035,120,120,100,78.2132125527032,7089.50031811511,379
"2035/2036",2036,120,120,100,77.4363273905369,9433.32823621389,170
"2036/2037",2037,121,121,100,78.3491572644302,10344.2766070766,228
"2037/2038",2038,120,120,100,84.1120446849327,5449.24429918174,267
"2038/2039",2039,120,120,100,77.190244631086,10872.2165581412,204
"2039/2040",2040,120,120,100,73.1145139180999,13345.5701994537,36
"2040/2041",2041,121,121,100,80.5694250174729,10206.1702143988,118
"2041/2042",2042,120,120,100,87.7318448705473,7447.41952720517,101
"2042/2043",2043,120,120,100,63.4569647636426,15488.0720808054,226
"2043/2044",2044,120,120,100,88.3263455789229,5587.88953204034,209
"2044/2045",2045,121,121,100,84.5586992682838,8866.89503569156,137
"2045/2046",2046,120,120,100,81.5542434359513,7236.41237585898,391
"2046/2047",2047,120,120,100,83.0618046515056,7432.30474279402,282
"2047/2048",2048,120,120,100,78.2889855523381,8318.82602677215,413
"2048/2049",2049,121,121,100,87.588480165643,8001.14989911579,94
"2049/2050",2050,120,120,100,86.9097335951938,5906.27364447294,216
"2050/2051",2051,120,120,100,87.292409496381,4657.17111127358,250
"2051/2052",2052,120,120,100,79.5017612819211,9188.74997784058,181
"2052/2053",2053,121,121,100,72.6927504422592,11610.4554623454,234
"2053/2054",2054,120,120,100,73.0764637339689,11649.1645483556,179
"2054/2055",2055,120,120,100,81.4072525647543,10972.7738027489,20
"2055/2056",2056,120,120,100,77.1214480415174,9046.60362562072,195
"2056/2057",2057,121,121,100,77.9623607176363,10165.7394902809,69
"2057/2058",2058,120,120,100,78.0778312961811,8736.38056182116,300
"2058/2059",2059,120,120,100,82.4417503476197,10755.4604788329,54
"2059/2060",2060,120,120,100,80.5655027158746,6726.67683699075,369
"2060/2061",2061,121,121,100,79.1580608465138,10850.6604123581,138
"2061/2062",2062,120,120,100,74.49343457545,11279.6869651536,113
"2062/2063",2063,120,120,100,87.0603792528427,5828.66986416839,346
"2063/2064",2064,120,120,100,85.5547992238317,6227.37950627971,274
"2064/2065",2065,121,121,100,79.4329290428705,8957.43360120896,250
"2065/2066",2066,120,120,100,84.0636081865614,9544.94135200512,132
