"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,76.0518239853312,11471.6128251747,180
"2002/2003",2003,120,120,100,81.6946381019829,9879.14987540993,258
"2003/2004",2004,120,120,100,82.1095390061122,6950.04416124124,272
"2004/2005",2005,121,121,100,87.169426163586,8303.10444933019,99
"2005/2006",2006,120,120,100,80.4639221817083,11209.6116375356,23
"2006/2007",2007,120,120,100,81.9868254756277,8950.27080227336,207
"2007/2008",2008,120,120,100,83.9011775796932,6401.84818099788,262
"2008/2009",2009,121,121,100,85.3581331352307,8097.51222055266,244
"2009/2010",2010,120,120,100,82.471788194757,8844.46772461117,114
"2010/2011",2011,120,120,100,86.2503890283524,8356.299218753,52
"2011/2012",2012,120,120,100,86.4764027093311,7613.9983498751,74
"2012/2013",2013,121,121,100,82.2203155442942,8231.09674795286,221
"2013/2014",2014,120,120,100,86.7134872987403,6406.2875857614,155
"2014/2015",2015,120,120,100,73.7289818531597,7438.5178410979,482
"2015/2016",2016,120,120,100,82.6266657309548,9083.32441109209,126
"2016/2017",2017,121,121,100,77.6629329179193,10074.5942823472,201
"2017/2018",2018,120,120,100,75.3299154146293,9518.09429766377,329
"2018/2019",2019,120,120,100,83.6562586308874,6013.92578041996,359
"2019/2020",2020,120,120,100,79.7211009641287,10184.1838783687,142
"2020/2021",2021,121,121,100,78.611823702819,11622.9027132576,106
"2021/2022",2022,120,120,100,80.1381535413798,5889.51881431392,408
"2022/2023",2023,120,120,100,80.6319349191222,8122.37458782736,143
"2023/2024",2024,120,120,100,85.844736244092,9987.37211745745,5
"2024/2025",2025,121,121,100,84.6089677070522,9671.96622983087,14
"2025/2026",2026,120,120,100,78.2482854855984,9769.09774620202,123
"2026/2027",2027,120,120,100,79.4189056945893,5267.37873397442,543
"2027/2028",2028,120,120,100,83.0517704745939,8393.95463206479,140
"2028/2029",2029,121,121,100,87.2086358904207,6710.09327965416,203
"2029/2030",2030,120,120,100,85.751150009291,7310.29742341116,167
"2030/2031",2031,120,120,100,78.8242809975118,10351.0799986948,170
"2031/2032",2032,120,120,100,79.1302284727631,7993.19982757326,278
"2032/2033",2033,121,121,100,86.4549724573262,7923.52988744248,159
"2033/2034",2034,120,120,100,84.5599420404087,6324.80985569069,239
"2034/2035",2035,120,120,100,83.1865168483014,5919.56050421717,314
"2035/2036",2036,120,120,100,81.4603734128832,8282.90334929619,137
"2036/2037",2037,121,121,100,83.4249353417681,9176.01739666099,214
"2037/2038",2038,120,120,100,86.247043703971,4631.2231986355,272
"2038/2039",2039,120,120,100,81.1927758466272,9926.99190141493,178
"2039/2040",2040,120,120,100,78.3724990336996,12480.4238770874,21
"2040/2041",2041,121,121,100,84.081148351469,9259.48708277754,103
"2041/2042",2042,120,120,100,89.2009792058461,6907.43712919205,80
"2042/2043",2043,120,120,100,68.637075785954,14425.3992060903,206
"2043/2044",2044,120,120,100,89.3523375354644,5255.1806930569,228
"2044/2045",2045,121,121,100,89.4139552361203,7769.45193196088,86
"2045/2046",2046,120,120,100,86.5781503047237,5872.67278367886,320
"2046/2047",2047,120,120,100,85.2487054573239,6353.90303615481,223
"2047/2048",2048,120,120,100,81.5428500138178,7327.54342693603,371
"2048/2049",2049,121,121,100,91.031247283242,7251.15642472822,71
"2049/2050",2050,120,120,100,90.4992345211649,5030.63712922391,189
"2050/2051",2051,120,120,100,87.5975297291452,4156.94800145552,248
"2051/2052",2052,120,120,100,81.0687390731991,8356.9704585853,166
"2052/2053",2053,121,121,100,76.5594644539678,10672.7887802343,209
"2053/2054",2054,120,120,100,74.3634270130869,11199.7461073045,209
"2054/2055",2055,120,120,100,84.6661005680198,10138.0979207857,21
"2055/2056",2056,120,120,100,84.355218279602,7837.75950902421,148
"2056/2057",2057,121,121,100,82.0278307300232,9376.17915148567,61
"2057/2058",2058,120,120,100,81.9303812124763,8105.30217767414,291
"2058/2059",2059,120,120,100,85.0695904041322,10144.0762905888,42
"2059/2060",2060,120,120,100,82.7624693317521,5687.9278163081,326
"2060/2061",2061,121,121,100,85.5899309428905,9486.03272709157,74
"2061/2062",2062,120,120,100,76.9933697609194,10037.0474257423,35
"2062/2063",2063,120,120,100,85.2851826879032,5636.65650650673,374
"2063/2064",2064,120,120,100,84.0452412383365,6127.25772632286,315
"2064/2065",2065,121,121,100,80.0837090265431,8698.74739420507,301
"2065/2066",2066,120,120,100,82.2092192658447,9548.9087272035,173
"2066/2067",2067,120,120,100,87.4257136589167,8367.31855672412,33
"2067/2068",2068,120,120,100,87.546741651031,5037.72620111145,232
"2068/2069",2069,121,121,100,76.846220714935,11713.9976636861,67
"2069/2070",2070,120,120,100,82.2341652224986,7842.26950521767,232
"2070/2071",2071,120,120,100,81.4301317346926,7962.3821229348,200
"2071/2072",2072,120,120,100,80.9860834609863,8173.0451895697,147
"2072/2073",2073,121,121,100,78.057522235722,10266.0827496415,147
"2073/2074",2074,120,120,100,76.9221733779395,11092.6080808854,154
"2074/2075",2075,120,120,100,74.8251672767728,10070.9591909265,403
"2075/2076",2076,120,120,100,73.1832804790065,11380.3019291703,221
"2076/2077",2077,121,121,100,82.9986770589785,10966.8918797197,26
"2077/2078",2078,120,120,100,86.6029056147072,5395.440424948,215
"2078/2079",2079,120,120,100,87.4681120527239,5298.66015877482,329
"2079/2080",2080,120,120,100,84.5847222752091,8191.92666243855,138
"2080/2081",2081,121,121,100,81.1315852301232,10577.3404455977,59
"2081/2082",2082,120,120,100,85.1935796433954,8903.67762757931,139
"2082/2083",2083,120,120,100,84.4445412396835,8624.6312454259,89
"2083/2084",2084,120,120,100,77.3013681884986,11256.4408813594,170
"2084/2085",2085,121,121,100,83.2100658271647,5872.39319613297,266
"2085/2086",2086,120,120,100,85.9798611985789,7756.51827818435,169
"2086/2087",2087,120,120,100,85.3063338060165,6923.91816697922,284
"2087/2088",2088,120,120,100,88.7141999221494,6857.37440291792,105
"2088/2089",2089,121,121,100,80.7970321990797,8296.42508185189,290
"2089/2090",2090,120,120,100,88.2343731180536,7041.07410370745,176
"2090/2091",2091,120,120,100,89.8386523027839,4551.40809133369,311
"2091/2092",2092,120,120,100,87.0831808479143,6509.15702632349,206
"2092/2093",2093,121,121,100,89.3240850613711,5827.33626107592,136
"2093/2094",2094,120,120,100,80.7903066731869,9836.87144615687,134
"2094/2095",2095,120,120,100,82.5261965552108,8399.34406678751,261
"2095/2096",2096,120,120,100,86.9062422367315,7670.31557652634,70
"2096/2097",2097,121,121,100,78.4372633279563,11803.0213283775,91
"2097/2098",2098,120,120,100,75.8093965636817,10577.6130017852,214
"2098/2099",2099,120,120,100,84.9420095687874,7180.63896436058,241
"2099/2100",2100,120,120,100,79.7016807053806,8019.67488208879,307
