"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.7575953386829,7630.3734883971,270
"2002/2003",2003,120,120,100,83.6289648100734,6624.25809303066,351
"2003/2004",2004,120,120,100,85.2373829510855,4018.65573928994,426
"2004/2005",2005,121,121,100,89.3145929653944,5029.99730448978,150
"2005/2006",2006,120,120,100,90.1856348512608,7006.98970985651,61
"2006/2007",2007,120,120,100,83.9839619007872,5721.54446431133,305
"2007/2008",2008,120,120,100,83.3034592225074,3929.64763463155,486
"2008/2009",2009,121,121,100,87.3001252198947,4846.34107952239,390
"2009/2010",2010,120,120,100,88.40805955989,5315.40184823389,243
"2010/2011",2011,120,120,100,91.7116952906108,4655.3947920372,95
"2011/2012",2012,120,120,100,85.9710503181775,4586.44712311076,173
"2012/2013",2013,121,121,100,86.7478000851634,5093.28540496842,377
"2013/2014",2014,120,120,100,85.8076814992353,3949.7071415016,284
"2014/2015",2015,120,120,100,68.2220796511356,5822.03213700908,855
"2015/2016",2016,120,120,100,86.7083006681266,5777.90802075784,220
"2016/2017",2017,121,121,100,79.0044836739853,7031.24351584585,368
"2017/2018",2018,120,120,100,77.7556208881078,6451.34859532537,512
"2018/2019",2019,120,120,100,80.1027381892818,3952.06596799148,551
"2019/2020",2020,120,120,100,84.7273219445224,6694.96423525433,238
"2020/2021",2021,121,121,100,85.2894634097884,7586.05322943116,158
"2021/2022",2022,120,120,100,80.6192853146131,3810.47032826906,556
"2022/2023",2023,120,120,100,80.8050094282939,5750.1382063271,276
"2023/2024",2024,120,120,100,90.7579258709065,6331.54111166671,40
"2024/2025",2025,121,121,100,89.2895712724098,6152.06819290109,85
"2025/2026",2026,120,120,100,85.7219012300784,6128.01671083504,226
"2026/2027",2027,120,120,100,79.2114899015119,3002.15654855524,813
"2027/2028",2028,120,120,100,83.7054506749537,5559.50474639703,290
"2028/2029",2029,121,121,100,87.762594947616,3765.44006409589,299
"2029/2030",2030,120,120,100,86.2557924378275,4519.56915212749,299
"2030/2031",2031,120,120,100,85.6774054073417,6686.61197224399,263
"2031/2032",2032,120,120,100,82.428245384041,5218.87544341572,466
"2032/2033",2033,121,121,100,87.7332471279897,4865.38141091634,292
"2033/2034",2034,120,120,100,85.400114852655,3675.6434306968,432
"2034/2035",2035,120,120,100,79.6924491778909,3860.43928337144,538
"2035/2036",2036,120,120,100,85.1465556822732,5582.96189982723,248
"2036/2037",2037,121,121,100,88.1763597880254,5955.78292815434,291
"2037/2038",2038,120,120,100,83.0215167042179,2750.88250409719,421
"2038/2039",2039,120,120,100,83.7392908470301,6519.7101815762,282
"2039/2040",2040,120,120,100,86.8557458678824,8403.8454685309,89
"2040/2041",2041,121,121,100,88.429169626279,5941.80987328291,185
"2041/2042",2042,120,120,100,90.9060408154128,3897.70315269381,175
"2042/2043",2043,120,120,100,80.1348904489678,10225.490866127,257
"2043/2044",2044,120,120,100,88.6565447344246,2767.35828213859,322
"2044/2045",2045,121,121,100,89.150128721456,4739.57963493373,192
"2045/2046",2046,120,120,100,82.426137759865,3802.26582988584,595
"2046/2047",2047,120,120,100,82.8010795170821,4123.99310523411,364
"2047/2048",2048,120,120,100,83.2254670821821,4553.27249678317,484
"2048/2049",2049,121,121,100,92.0684335575834,4123.40821784548,151
"2049/2050",2050,120,120,100,86.5282357020933,2858.55875949049,324
"2050/2051",2051,120,120,100,85.5351963991161,2186.0435361499,424
"2051/2052",2052,120,120,100,82.0279361444282,5567.28869633283,305
"2052/2053",2053,121,121,100,81.6101910459265,7357.59593803715,345
"2053/2054",2054,120,120,100,84.3951785931604,7337.87811913947,258
"2054/2055",2055,120,120,100,87.0328994279835,6521.3445050302,66
"2055/2056",2056,120,120,100,83.9070556468159,5146.1633437397,300
"2056/2057",2057,121,121,100,81.4798720009394,6672.26965914574,136
"2057/2058",2058,120,120,100,82.7918002907827,5145.96420508483,424
"2058/2059",2059,120,120,100,88.460046239953,6296.22572770622,126
"2059/2060",2060,120,120,100,81.8905290363873,3568.69617961533,514
"2060/2061",2061,121,121,100,87.9873170508044,6318.40665196255,162
"2061/2062",2062,120,120,100,75.1116704893957,7529.22916879412,271
"2062/2063",2063,120,120,100,83.1227754219226,3110.14478885848,507
"2063/2064",2064,120,120,100,86.4414239267462,3260.92042997759,440
"2064/2065",2065,121,121,100,83.0651135297248,5377.90399829857,432
"2065/2066",2066,120,120,100,88.2998692905057,5775.21721986216,274
"2066/2067",2067,120,120,100,90.4092601526954,5103.73122414108,99
"2067/2068",2068,120,120,100,84.379716250045,2809.78334056959,419
"2068/2069",2069,121,121,100,84.262637333939,7866.75828395225,115
"2069/2070",2070,120,120,100,82.6046854459273,5265.71136541571,360
"2070/2071",2071,120,120,100,84.7717439376302,4969.53424860165,369
"2071/2072",2072,120,120,100,82.7686704521639,5228.47766158357,306
"2072/2073",2073,121,121,100,79.4045734136416,6887.92939888872,230
"2073/2074",2074,120,120,100,84.8277694639364,7364.35228515696,224
"2074/2075",2075,120,120,100,74.6137018729733,7678.83226447646,529
"2075/2076",2076,120,120,100,80.1365597405729,7754.42499172501,365
"2076/2077",2077,121,121,100,90.1519394899933,6890.47389219329,50
"2077/2078",2078,120,120,100,85.2107743132819,2955.9574037455,382
"2078/2079",2079,120,120,100,85.0653804841768,2882.22826659679,523
"2079/2080",2080,120,120,100,89.560202687524,4837.40249120537,222
"2080/2081",2081,121,121,100,88.848383776216,6585.47154667135,73
"2081/2082",2082,120,120,100,84.9937778367221,5863.76946579199,319
"2082/2083",2083,120,120,100,85.2193951647023,5573.34717576671,190
"2083/2084",2084,120,120,100,85.2903529058203,7564.68722488731,275
"2084/2085",2085,121,121,100,81.9567084195569,3375.62723817304,486
"2085/2086",2086,120,120,100,84.9021245751646,4678.6208378477,351
"2086/2087",2087,120,120,100,85.773020943956,4465.09927172307,403
"2087/2088",2088,120,120,100,88.7511469791025,4150.47396197915,234
"2088/2089",2089,121,121,100,83.4650461592555,5455.66395354923,401
"2089/2090",2090,120,120,100,89.3710799227883,4109.81375189871,306
"2090/2091",2091,120,120,100,84.8422412401069,2482.74883031473,463
"2091/2092",2092,120,120,100,86.3424228621589,4057.6202299213,385
"2092/2093",2093,121,121,100,88.9168315183451,3254.66755106859,398
"2093/2094",2094,120,120,100,84.5536631128907,6731.26812663302,248
"2094/2095",2095,120,120,100,84.3075157014009,5653.50793636404,412
"2095/2096",2096,120,120,100,90.37662658712,4451.88802500535,128
"2096/2097",2097,121,121,100,82.3634773040394,8350.36010450963,137
"2097/2098",2098,120,120,100,76.2880047945255,7692.23088677973,383
"2098/2099",2099,120,120,100,85.8945348226152,4684.80426315404,394
"2099/2100",2100,120,120,100,83.1040539412515,5262.29911706224,429
