"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.6244854752126,5641.70180874631,384
"2002/2003",2003,120,120,100,83.2725987418251,4754.08184654627,437
"2003/2004",2004,120,120,100,84.9191991292818,2450.90058797464,648
"2004/2005",2005,121,121,100,87.3760056431273,3545.0087180002,335
"2005/2006",2006,120,120,100,88.7782970470622,5281.36517760332,216
"2006/2007",2007,120,120,100,84.1818235659173,4279.09226288769,437
"2007/2008",2008,120,120,100,79.7096381518954,2813.17648745322,679
"2008/2009",2009,121,121,100,82.9601033651682,3378.8690155957,543
"2009/2010",2010,120,120,100,85.5024596651726,3715.59538313677,420
"2010/2011",2011,120,120,100,87.8500031376173,3422.16784396477,244
"2011/2012",2012,120,120,100,86.5294967217942,3091.6492826558,365
"2012/2013",2013,121,121,100,84.8293340671037,3774.90642891475,594
"2013/2014",2014,120,120,100,82.431166633012,2919.96025936597,576
"2014/2015",2015,120,120,100,69.6678001363227,4648.22655535501,1114
"2015/2016",2016,120,120,100,85.4916435476568,4035.25077984249,347
"2016/2017",2017,121,121,100,80.0775310025974,5506.27873893664,568
"2017/2018",2018,120,120,100,76.6459023411571,4723.60268224985,638
"2018/2019",2019,120,120,100,75.801602215919,3010.72001698916,786
"2019/2020",2020,120,120,100,83.6345892216668,4957.58465676545,432
"2020/2021",2021,121,121,100,85.4268749637981,5527.22207838483,292
"2021/2022",2022,120,120,100,76.6838800833648,2933.53763043624,872
"2022/2023",2023,120,120,100,79.790105684619,4549.20906202495,577
"2023/2024",2024,120,120,100,89.1036889002066,4706.3628731987,236
"2024/2025",2025,121,121,100,89.439743687848,4256.49600709253,254
"2025/2026",2026,120,120,100,85.1985308633489,4148.25119822635,360
"2026/2027",2027,120,120,100,77.8306570360287,1959.73924257536,1034
"2027/2028",2028,120,120,100,84.1527389975422,3894.76891749259,498
"2028/2029",2029,121,121,100,85.8470846864616,2875.8388355379,566
"2029/2030",2030,120,120,100,82.0878548474111,3483.11933349655,570
"2030/2031",2031,120,120,100,87.5908800835209,4605.72931866534,401
"2031/2032",2032,120,120,100,81.4602697849123,3586.78931064252,627
"2032/2033",2033,121,121,100,85.3179546220854,3625.43462009123,518
"2033/2034",2034,120,120,100,83.4433973845053,2558.35389270354,672
"2034/2035",2035,120,120,100,77.6437422663948,2957.18937828485,773
"2035/2036",2036,120,120,100,83.152277097689,4123.72875998961,445
"2036/2037",2037,121,121,100,86.362744328906,4305.75353055261,424
"2037/2038",2038,120,120,100,79.9094649211547,2031.66373386281,783
"2038/2039",2039,120,120,100,82.8317328598378,5029.78377361689,410
"2039/2040",2040,120,120,100,89.7534635900329,5899.48423165828,215
"2040/2041",2041,121,121,100,87.5784440760626,4019.09276374104,337
"2041/2042",2042,120,120,100,87.6380149025617,2553.86969417054,393
"2042/2043",2043,120,120,100,81.2715638655054,7729.01299798768,333
"2043/2044",2044,120,120,100,83.7303519683128,1998.37773481756,581
"2044/2045",2045,121,121,100,87.6730689951301,3536.6528174649,345
"2045/2046",2046,120,120,100,80.0573634597386,2976.28781771241,817
"2046/2047",2047,120,120,100,81.3646856717714,3041.90572181623,615
"2047/2048",2048,120,120,100,80.0613543635673,3259.99201915087,662
"2048/2049",2049,121,121,100,90.0025370754174,2870.81202445924,325
"2049/2050",2050,120,120,100,82.4536487351925,2115.96711014025,632
"2050/2051",2051,120,120,100,80.1453167837753,1502.99328369368,685
"2051/2052",2052,120,120,100,82.0454218289078,4045.37566285208,481
"2052/2053",2053,121,121,100,81.6424691922484,5223.70948628476,427
"2053/2054",2054,120,120,100,86.0885320165344,5112.80723060528,357
"2054/2055",2055,120,120,100,87.6636420117848,4878.70646290993,278
"2055/2056",2056,120,120,100,83.8738569709803,3744.24563136185,520
"2056/2057",2057,121,121,100,78.8809994704543,5110.3910827674,355
"2057/2058",2058,120,120,100,80.1668138764435,3748.94475937216,661
"2058/2059",2059,120,120,100,86.8687830717381,4554.81868544221,216
"2059/2060",2060,120,120,100,76.8625978456639,2682.25168659538,848
"2060/2061",2061,121,121,100,86.3972260756973,4976.38445110712,413
"2061/2062",2062,120,120,100,72.6060679543461,6316.61816343479,579
"2062/2063",2063,120,120,100,79.3870395667927,2284.05637860391,717
"2063/2064",2064,120,120,100,83.2318779143243,1947.73755709734,659
"2064/2065",2065,121,121,100,80.9122201348946,4198.54523309041,650
"2065/2066",2066,120,120,100,86.3601832423919,4110.1661649961,399
"2066/2067",2067,120,120,100,88.4768430680506,3629.73080490157,277
"2067/2068",2068,120,120,100,82.3458083932273,2054.4525086116,757
"2068/2069",2069,121,121,100,86.4589748756898,6105.79891091958,405
"2069/2070",2070,120,120,100,79.2527332494719,4129.71047842596,647
"2070/2071",2071,120,120,100,81.9215052503405,3586.0688748071,516
"2071/2072",2072,120,120,100,83.7612965511398,3329.69115770888,495
"2072/2073",2073,121,121,100,83.4401385261972,5214.80721092317,446
"2073/2074",2074,120,120,100,85.7695637226225,5384.76450231858,321
"2074/2075",2075,120,120,100,72.3585198611127,6188.7968688719,649
"2075/2076",2076,120,120,100,83.4397884589162,5377.77590971906,496
"2076/2077",2077,121,121,100,88.5361990584133,5069.41609563306,192
"2077/2078",2078,120,120,100,82.2113786430782,1980.90256163385,676
"2078/2079",2079,120,120,100,81.0644721694316,1974.80422450975,716
