"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.950521057613,7149.07809340076,302
"2002/2003",2003,120,120,100,84.38978733224,5994.29486918089,358
"2003/2004",2004,120,120,100,86.2233859292962,3674.35585309882,510
"2004/2005",2005,121,121,100,89.223805242479,4739.0127048713,204
"2005/2006",2006,120,120,100,89.417242647571,6829.68230348383,106
"2006/2007",2007,120,120,100,84.6582540626318,5465.34625328041,339
"2007/2008",2008,120,120,100,83.2563957169722,3594.76478987909,511
"2008/2009",2009,121,121,100,86.0779175570344,4544.61828782083,445
"2009/2010",2010,120,120,100,87.739730823946,5061.06655311154,301
"2010/2011",2011,120,120,100,90.7748822834328,4585.18287112401,131
"2011/2012",2012,120,120,100,87.175740068345,4219.031854033,226
"2012/2013",2013,121,121,100,87.2071650159269,4796.4718098843,446
"2013/2014",2014,120,120,100,84.7392614998337,3793.64209108916,380
"2014/2015",2015,120,120,100,70.8462706320549,5250.83898169489,912
"2015/2016",2016,120,120,100,86.7694996944363,5241.44946084195,244
"2016/2017",2017,121,121,100,79.0021779162507,6660.93067669915,433
"2017/2018",2018,120,120,100,77.3609984295681,5926.84153847257,541
"2018/2019",2019,120,120,100,79.6844221874503,3566.46390508348,614
"2019/2020",2020,120,120,100,84.3448115722776,6312.34134640615,297
"2020/2021",2021,121,121,100,86.0153835402575,7176.04673774727,235
"2021/2022",2022,120,120,100,79.6012682471633,3564.83311154111,661
"2022/2023",2023,120,120,100,83.5255293928672,5294.75191748422,358
"2023/2024",2024,120,120,100,89.7110932811906,5954.84117258596,105
"2024/2025",2025,121,121,100,91.0113306986741,5668.83314604964,118
"2025/2026",2026,120,120,100,84.5938564316079,5751.64943353273,280
"2026/2027",2027,120,120,100,79.9209866025712,2876.75141899381,894
"2027/2028",2028,120,120,100,84.2429664145207,5063.47694537253,334
"2028/2029",2029,121,121,100,87.3472075964341,3720.8788194987,394
"2029/2030",2030,120,120,100,84.2106314625998,4322.64983869181,373
"2030/2031",2031,120,120,100,88.0174955757457,6220.95209292509,302
"2031/2032",2032,120,120,100,82.7042903618749,4787.49223070126,499
"2032/2033",2033,121,121,100,86.2825868271575,4670.42377290502,348
"2033/2034",2034,120,120,100,85.6156564662942,3484.89195669023,509
"2034/2035",2035,120,120,100,80.7592252528166,3538.90291559836,626
"2035/2036",2036,120,120,100,85.414242740806,5162.67723382032,291
"2036/2037",2037,121,121,100,87.7256810679428,5502.1820910885,325
"2037/2038",2038,120,120,100,82.9350556346099,2598.63017101493,526
"2038/2039",2039,120,120,100,84.6917374093327,6150.93979832204,320
"2039/2040",2040,120,120,100,87.8221245783034,7664.65766491694,122
"2040/2041",2041,121,121,100,89.7864161803,5322.30016049417,219
"2041/2042",2042,120,120,100,90.6639408367628,3532.31140010851,240
"2042/2043",2043,120,120,100,80.5728697021686,9491.63100635586,266
"2043/2044",2044,120,120,100,86.1527099787581,2714.5588111598,411
"2044/2045",2045,121,121,100,89.0000283477111,4419.30051349895,227
"2045/2046",2046,120,120,100,84.2462644262878,3527.24278963311,637
"2046/2047",2047,120,120,100,83.51225781632,3738.24020990683,431
"2047/2048",2048,120,120,100,82.7351601000391,4172.45528187091,544
"2048/2049",2049,121,121,100,90.323405824035,3915.79020761186,209
"2049/2050",2050,120,120,100,86.2274356073076,2686.31172728771,403
"2050/2051",2051,120,120,100,84.5852752103901,2093.16538803512,489
"2051/2052",2052,120,120,100,81.863122145227,5073.28897910286,370
"2052/2053",2053,121,121,100,82.3988424473555,6624.20386899123,361
"2053/2054",2054,120,120,100,86.4904731429715,6797.89249717817,289
"2054/2055",2055,120,120,100,88.7275078933899,6129.46281956462,125
