"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.279735457533,181.543263013776,67.0692157323378,89.54486721607,1896.78670647368,1789.5,1734.28471205385,1782,1789,1303,1773.5,84.3729822875057
"2002/2003",2003,120,120,100,44.6209548471787,181.914975580523,72.6225862506879,90.2153329214822,2025.2703013805,1907.5,1819.34835265481,1888.5,1922.5,1525,1905.5,85.9925063878071
"2003/2004",2004,120,120,100,52.9068087833983,219.890563863697,74.8526779523237,98.570341864342,2019.37366176394,1762.5,1595.24511480877,1883.5,1738,1672,1729.5,84.9569392117895
"2004/2005",2005,121,121,100,57.541523264523,243.920577128967,68.579148174998,95.7883722339131,2217.98734312514,2033,1864.72854820564,2084.5,2027,1809,2012,87.4037232263297
"2005/2006",2006,120,120,100,51.5279024235889,219.570611718704,63.4729465414704,90.0333851257008,2070.91057808254,1962,1875.93909443789,1967,1950.5,1525,1936,86.3772222578471
"2006/2007",2007,120,120,100,48.966041559886,224.241847575058,69.4613040678753,91.1010393617057,2022.64020951,1884,1790.56641842738,1881.5,1914.5,1515,1890.5,84.6799897665138
"2007/2008",2008,120,120,100,53.8586294992447,212.794501953454,78.5471203615252,98.2562034623798,1996.80237422544,1735.5,1559.91573025572,1872.5,1689,1636,1686,81.8112319110134
"2008/2009",2009,121,121,100,48.5175449193259,240.793423476802,71.5611095494071,95.2677343850885,2009.13649636406,1825.5,1714.05600084682,1886,1819.5,1579,1815.5,84.6995045381948
"2009/2010",2010,120,120,100,48.3240420668431,198.152617252429,71.4358694147208,93.2656139117263,2066.06976603616,1886,1806.5922282974,1915,1907,1525,1901,85.4188091394847
"2010/2011",2011,120,120,100,56.6490255279807,227.17018804357,69.3298734493454,94.492354838563,2218.763081849,2036.5,1889.283922471,2083,2006,1785,2006,89.3323559188216
"2011/2012",2012,120,120,100,60.0801193231143,218.078085395717,71.7170094257287,96.733250699989,2221.21809130938,2034,1847.4555526143,2112.5,2000,1852,1996,88.1816684967603
"2012/2013",2013,121,121,100,45.8686279119583,202.486595901565,72.4008788793572,96.6267017845624,1986.1539199781,1766,1659.87385969266,1819.5,1762,1480,1754,87.8413947609577
"2013/2014",2014,120,120,100,53.300378005712,207.861328576854,76.4928372777972,97.2991193012198,2064.52674752864,1809,1625.35931742203,1930,1757,1745,1742.5,83.5757380601167
"2014/2015",2015,120,120,100,29.2779314269,132.981248487075,82.6514974678386,95.913621110022,1477.75847550194,1187.5,1063.65092679775,1363,1148,1143,1109,72.9182354275822
"2015/2016",2016,120,120,100,52.334636877433,202.838304773992,69.1563070751682,93.7962846081528,2153.99028118647,1985.5,1876.13508929634,2004.5,2007.5,1625,1998.5,87.7755128914127
"2016/2017",2017,121,121,100,41.0580517683536,195.831091853351,71.0436451922041,92.9016926786666,1825.29661676939,1640.5,1512.94364352433,1699,1593,1392,1560.5,80.2728655370865
"2017/2018",2018,120,120,100,38.8009828158048,173.445981353187,74.7647499556846,92.7905260572576,1778.81248939724,1577.5,1491.65842196375,1647,1576.5,1308,1552,77.8970501144645
