"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.3479886436609,160.540186695276,67.6409502406063,88.490910392608,1857.14229803064,1762,1716.41592157115,1763.5,1768,1280,1748.5,83.3817093382406
"2002/2003",2003,120,120,100,39.4035238099049,151.630981976833,73.3882632911032,88.8838771182729,1929.15794519719,1813.5,1754.74261992138,1788,1848.5,1372,1827.5,81.9648446578432
"2003/2004",2004,120,120,100,50.3685947995757,198.024529722264,75.176621892382,98.0293863968283,2032.65262482413,1763.5,1632.68814805596,1878.5,1754.5,1633,1747,85.0543889023281
"2004/2005",2005,121,121,100,54.5758181045232,217.730216516374,69.0642033993968,94.8068180253656,2199.45175476969,2032,1893.52313111558,2063.5,2050.5,1726,2032,89.4760200081802
"2005/2006",2006,120,120,100,48.272719750917,195.699057352239,63.6030393109292,89.3372444294699,2105.91404695726,2023,1971.76679191475,1993,2016,1483,2009,89.1533328066146
"2006/2007",2007,120,120,100,47.3201368198786,203.795097890058,69.9472762242909,90.4482475132813,2013.18243575383,1889,1821.07379937563,1875.5,1923.5,1475,1903,85.0177529776474
"2007/2008",2008,120,120,100,50.2138155583691,186.548726664702,79.280708342271,96.6564749718605,1929.96328895041,1713.5,1535.0986357138,1824.5,1671,1551,1664.5,80.395378221016
"2008/2009",2009,121,121,100,46.7626695007553,216.847480423161,72.1295764604155,94.2853491462709,2017.40632004665,1839.5,1749.04302817514,1873,1849.5,1545,1845,85.9571409138721
"2009/2010",2010,120,120,100,47.0836221323292,182.460229231648,71.7125186872222,92.3556796086697,2091.61174430839,1940,1884.87172983616,1940.5,1966,1519,1962,87.6306420939175
"2010/2011",2011,120,120,100,58.6964783243756,218.372483755252,69.2278350584147,93.9006789506601,2309.92346552435,2161,2028.49422564744,2171,2168,1840,2168,90.1346643077447
"2011/2012",2012,120,120,100,55.4704349430145,194.367235602926,72.1453441355315,95.7230925661571,2187.12994425426,2012,1849.77106301677,2071,1997,1757,1992,88.0460713252762
"2012/2013",2013,121,121,100,44.2037277100729,186.270424294591,73.0171621351737,95.470353546562,1961.10949656651,1737,1664.17722885175,1804,1760.5,1433,1751,86.2854870974959
"2013/2014",2014,120,120,100,49.5397250688143,188.091033834813,76.8406950122098,96.4213252311733,2053.20187426315,1783.5,1658.76042844911,1900.5,1751.5,1704,1745,84.6179829302198
"2014/2015",2015,120,120,100,26.9760610253001,112.380854431649,83.8532694783538,94.2939536181891,1385.55218227465,1080.5,940.295883525416,1245,1062,1066,998.5,67.7135048369803
"2015/2016",2016,120,120,100,49.9256015349898,176.204101022574,69.7483875367853,92.6470254007272,2089.41807822677,1920.5,1828.9134243452,1936,1955.5,1541,1943.5,86.2277832835143
"2016/2017",2017,121,121,100,41.7245778781146,179.453525595723,71.5347789495836,92.1386963042834,1834.12557224389,1651,1507.16208973613,1691,1625,1374,1571,80.062268221061
"2017/2018",2018,120,120,100,36.9467361704098,152.898020647924,75.4931792899079,91.5921225105082,1726.13842377593,1540,1442.56614729265,1604,1534,1292,1497.5,75.867859436677
"2018/2019",2019,120,120,100,45.2575830030732,155.121787750248,84.7576484741038,96.2285131515625,1819.14549893531,1589.5,1391.08813357521,1696.5,1535,1508,1508,77.139812879389
"2019/2020",2020,120,120,100,41.2874211727243,176.759012049935,68.560790605649,91.5634161785399,1934.63589946491,1758.5,1667.55012131563,1809.5,1737,1421,1721,84.364227228657
"2020/2021",2021,121,121,100,44.6044377733794,189.108757217859,64.9775250800559,90.4582134159212,2050.41474240349,1920,1854.88546629447,1887.5,1946,1474,1903,86.1883973016052
"2021/2022",2022,120,120,100,44.4394669752316,174.534424710057,83.9608027691413,97.1283732767953,1773.53743442289,1519.5,1335.22129112247,1672.5,1440.5,1484,1437,78.2723864542559
"2022/2023",2023,120,120,100,49.311328933821,166.723620419759,74.3187451667707,94.7045662580568,1895.80548596781,1697,1484.94929721327,1783.5,1622.5,1533,1590.5,80.9654153407737
"2023/2024",2024,120,120,100,48.0961508979489,210.222182977098,64.31746924638,90.5645584051787,2146.29031507211,2009.5,1936.93983509784,1992.5,2021,1550,2007.5,88.7399126081759
"2024/2025",2025,121,121,100,49.8856705543122,183.743836943643,68.5144836453222,93.0082964260577,2147.52553403066,1953.5,1924.80404138597,2009.5,1986,1562,1982.5,89.2663510728203
"2025/2026",2026,120,120,100,45.914256996353,178.659309248036,70.6459153268689,93.0645475549845,2052.90887982512,1875.5,1748.01790713289,1928.5,1869,1557,1854,85.6262176995365
"2026/2027",2027,120,120,100,40.7710457269804,174.780385316195,86.1446585791357,97.5017982629243,1699.96119435724,1411.5,1315.50930377251,1564.5,1374.5,1360,1372,77.617810025597
"2027/2028",2028,120,120,100,46.7535403094766,142.766106425763,74.4585468686283,94.2579453782831,1988.21392319699,1783.5,1687.26056951161,1865.5,1776.5,1536,1764,83.6016615456383
"2028/2029",2029,121,121,100,58.8660121691945,244.930683213981,74.109091934127,97.7876922759662,2099.02248522692,1890.5,1720.16230418041,1978,1841,1725,1840,87.4384469423367
"2029/2030",2030,120,120,100,51.4830580634421,199.519896187116,74.9047188680935,95.2714614051614,1980.93225989574,1760.5,1658.18417552118,1847,1747,1524,1744,83.2332335848396
"2030/2031",2031,120,120,100,45.106923055081,211.602308036851,66.4049259450237,91.2713496035654,1946.63252250766,1788,1740.60065375794,1819.5,1800.5,1409,1785,85.8416752455878
"2031/2032",2032,120,120,100,46.5933673021292,191.917401183741,74.8055930231485,93.68474249469,1908.2535925422,1699.5,1565.22422702092,1748.5,1692.5,1496,1667.5,81.1359416268851
"2032/2033",2033,121,121,100,54.5309763347772,197.420178789016,73.7547702214581,94.5559023380662,2105.42733985203,1915,1819.96602720291,1964,1944.5,1637,1921.5,84.761733910138
"2033/2034",2034,120,120,100,51.8375404551049,214.529489899302,76.4470522064,97.5159966296405,1982.40053089628,1746.5,1598.55918556207,1854,1699.5,1614,1697.5,83.6676898289716
"2034/2035",2035,120,120,100,46.2516414580826,161.609847273776,81.8386639349492,97.170758219313,1805.27208933255,1614,1407.88852262788,1717,1541,1487,1538,78.5219877784857
"2035/2036",2036,120,120,100,49.7701246699407,178.674391079682,72.080239973151,94.5659229664839,1986.88527622647,1795.5,1619.17616435576,1877,1762,1597,1742,82.6627676405014
"2036/2037",2037,121,121,100,44.2133059069461,179.293408998467,72.0274387420556,91.8741044692875,1975.26927049218,1810,1792.40234606027,1813.5,1840,1369,1831,86.8810166580097
"2037/2038",2038,120,120,100,55.7873000872064,191.840389004433,82.5232028057652,99.6914886475885,1988.59568028951,1680,1467.75413760588,1867.5,1627,1731,1618.5,81.2237016727267
"2038/2039",2039,120,120,100,40.6977984717597,161.547860987194,70.8330578233943,88.9095037871819,1944.34495236923,1859,1791.8994046748,1830,1879.5,1391,1871,84.4986633767085
"2039/2040",2040,120,120,100,38.3558645952738,154.127691444368,62.4720995682854,87.3760405628462,2000.29530207199,1902.5,1908.46565523878,1868,1943,1310,1923,87.5553717784132
"2040/2041",2041,121,121,100,48.3019583522931,190.733627386369,69.9356758768049,93.5538223583187,2083.77822162831,1910.5,1826.38490244157,1940.5,1920,1521,1909.5,87.6653253388868
"2041/2042",2042,120,120,100,57.4837637012024,176.458306501198,74.419411605851,96.6551296054017,2250.39992538432,2026.5,1908.18920991947,2105.5,2053.5,1831,2053.5,88.5755994315696
"2042/2043",2043,120,120,100,29.79252745477,116.84217103033,65.3140906582182,82.4326955385124,1710.63815828363,1641,1681.6456691709,1555.5,1714.5,995,1655.5,79.9483088268116
"2043/2044",2044,120,120,100,58.6137372185029,226.650506155789,78.3307008321728,99.4908778028347,2137.40155341817,1881.5,1641.98514008649,2028.5,1802.5,1867,1801,83.7558897114386
"2044/2045",2045,121,121,100,56.0887131836473,192.239660976905,71.4647969464543,94.0303333994691,2212.93415326634,2071,1941.47489290295,2073.5,2073,1760,2064,89.1559672169442
"2045/2046",2046,120,120,100,41.5637264524467,171.563533101271,78.4252957653662,96.1641059897071,1818.44653724539,1575.5,1466.56374453992,1658.5,1543,1408,1534.5,80.3002133981854
"2046/2047",2047,120,120,100,51.0047925191872,177.847662270464,77.5997162075445,97.255013394832,1998.66389116526,1759,1572.3753261953,1850,1722.5,1680,1692.5,81.767642396233
