"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.3882570595785,171.591193307667,66.485761719098,87.9736582482009,1824.89828468542,1729.5,1675.1798829803,1738,1723,1292,1697.5,82.6218394293204
"2002/2003",2003,120,120,100,37.1132463253341,159.102697888089,72.2318979557423,88.2951032542389,1869.46998454951,1748.5,1686.69881124281,1735.5,1791.5,1327,1762,82.391566906931
"2003/2004",2004,120,120,100,48.3157771173715,202.632234469761,73.8412530814379,97.4820555983983,1958.77266361962,1697.5,1569.86962847948,1799.5,1676,1543,1663.5,84.2997505542285
"2004/2005",2005,121,121,100,53.9201137550463,234.011643178305,67.5966491201254,94.5577557545487,2167.0326179033,2001,1861.18370059273,2018.5,2007.5,1681,1988,88.4299420434259
"2005/2006",2006,120,120,100,46.4518108910962,210.582243126617,62.2552421565972,89.1967512408635,2110.70058174411,2025.5,1972.29604166612,1988.5,2030,1490,2021.5,88.5118325469757
"2006/2007",2007,120,120,100,48.3553449654681,221.648230903185,68.2438568435136,90.6762027922082,1989.25925019146,1852.5,1767.22208827632,1846,1884.5,1469,1856,84.4176103021092
"2007/2008",2008,120,120,100,47.9555228831706,193.653278772334,78.1923544368398,95.6452680663015,1866.31117172919,1678.5,1501.34036980912,1766.5,1623.5,1493,1612,78.7439101480608
"2008/2009",2009,121,121,100,44.8063573004665,226.108310719034,70.5601453894706,94.1196309729848,1983.24817935209,1795.5,1697.03566369895,1834.5,1793,1501,1787,85.0745206706797
"2009/2010",2010,120,120,100,46.6108528414293,196.366045200011,70.3634844267632,92.2806814217058,2076.12398926378,1921,1849.60163336545,1929.5,1943,1516,1936.5,86.5496603061222
"2010/2011",2011,120,120,100,60.7337015470381,242.269346592364,67.6686751471272,93.8095469283702,2327.22060864462,2197.5,2042.63539489272,2176.5,2185,1841,2185,90.5148786240802
"2011/2012",2012,120,120,100,54.8412622241673,207.946440805309,70.9906233670716,95.4022753516778,2128.87318942715,1953.5,1777.09488101201,2022.5,1912.5,1728,1902,86.6746079450786
"2012/2013",2013,121,121,100,43.9885580471345,198.208973211788,71.6826628645862,94.77651754112,1932.13945615511,1720.5,1648.61032949356,1780,1743.5,1388,1726.5,85.681964492944
"2013/2014",2014,120,120,100,49.1433952615332,203.799205419664,75.1812353053783,96.4379992514548,2030.54052099518,1757,1625.95823291093,1881,1710,1659,1702.5,83.0892249605929
