"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.9346903525918,185.853172496724,71.736283234068,92.5969175881356,1880.79263780871,1689.5,1651.15981944591,1750.5,1697,1360,1690.5,83.3112366066378
"2002/2003",2003,120,120,100,46.6686517456284,194.061551543877,77.7501106362275,92.9432289404081,1974.39318917386,1804.5,1663.45543957457,1845,1775,1563,1763,82.2028322759947
"2003/2004",2004,120,120,100,53.630064732738,226.212867830881,79.5576336918537,101.673012166312,1960.50889979243,1662,1460.48136200961,1818,1616,1701,1611,82.7613280553568
"2004/2005",2005,121,121,100,56.3525926236499,239.20943839497,73.5501895285673,98.288956697605,2123.61994645969,1882,1683.34196965828,1985,1833.5,1761,1820.5,85.0461775760858
"2005/2006",2006,120,120,100,51.23798559325,215.371644964047,67.8969271313449,93.6726941836781,2053.38223614604,1880,1791.04638953316,1941,1861.5,1528,1855.5,87.1397394504274
"2006/2007",2007,120,120,100,51.1048447443027,227.382984510955,74.8239626705197,93.1227463425553,2004.54933999531,1845.5,1700.26232330308,1878,1849,1590,1838.5,84.3859657858399
"2007/2008",2008,120,120,100,48.6833202160685,191.35793543028,84.0627557506413,100.189072433172,1811.59223556451,1501,1320.56342783623,1685,1434,1519,1431,78.7033830056826
"2008/2009",2009,121,121,100,53.547367904026,246.270775248084,76.7573674920663,97.2304690825018,1957.67749066962,1740.5,1573.67574794453,1822.5,1700,1601,1697,82.6769741182823
"2009/2010",2010,120,120,100,54.6456817753815,214.559539818156,76.420061822331,95.5766748891616,2080.61725077419,1865.5,1734.67450109666,1928,1869.5,1628,1867,83.48061251425
"2010/2011",2011,120,120,100,56.9950362382328,235.815156873954,74.1113559019813,98.0400733391576,2191.90404575883,1949,1761.0493864803,2063,1914,1807,1914,87.0172307242833
"2011/2012",2012,120,120,100,58.3411144536465,212.34587421187,76.7566392379223,99.0856617034507,2127.42303012967,1906,1666.84199759562,2015.5,1829,1813,1827.5,84.2018710637842
"2012/2013",2013,121,121,100,45.2426916536234,200.583179548807,77.1665271034299,99.2924497605645,1932.4930077221,1670,1524.96930283762,1772,1628.5,1537,1624,85.3060238240321
"2013/2014",2014,120,120,100,47.1299317892738,191.668984732529,82.4328181411404,97.8336829767045,1909.11079972253,1628,1467.10897431538,1781,1597,1583,1590,79.5549297175089
"2014/2015",2015,120,120,100,27.3488088673249,111.654253565127,89.2699723843916,95.0262925824851,1299.85537989542,1033,887.737568782917,1192,992,993,948,68.1283555251864
"2015/2016",2016,120,120,100,54.3190543399883,204.244395943514,73.8845266909611,97.240508107461,2091.97035486587,1862.5,1678.64171265956,1935.5,1819.5,1676,1815,84.7896222393861
"2016/2017",2017,121,121,100,43.23107286057,195.695874819338,76.4069073836606,94.560991873524,1777.1127744116,1544,1405.96116960517,1637,1514,1404,1481,78.1495948953302
"2017/2018",2018,120,120,100,41.5029922750954,180.79904408062,80.0513105317086,94.9686459980266,1708.56244707572,1471,1348.20510149793,1608.5,1436,1317,1416,76.0263580509077
"2018/2019",2019,120,120,100,42.8498813394738,162.688864088679,90.0753625386631,98.3610054592355,1712.79907600175,1389.5,1214.94385554249,1593.5,1344.5,1474,1324.5,73.6848709223318
"2019/2020",2020,120,120,100,43.3344068850304,201.400399603253,72.8804644797808,95.0476539913361,1875.51041562414,1631.5,1536.51414298131,1748.5,1604,1459,1592.5,81.3586565916298
"2020/2021",2021,121,121,100,50.3829023871805,217.585738528414,69.1175543968099,94.2113408265342,2044.05049128601,1842,1725.56592097284,1887.5,1856,1570,1827.5,85.2235149745188
"2021/2022",2022,120,120,100,37.3559825123663,166.600797429247,89.003110207754,99.3539689445665,1593.25872067767,1306,1123.39632444116,1500,1208.5,1338,1208,75.0907447162522
"2022/2023",2023,120,120,100,45.7652470114103,163.845014410119,79.3017302281879,96.6111460089366,1779.00036965932,1538.5,1369.97358999365,1666.5,1478,1466,1456,77.2610917910019
"2023/2024",2024,120,120,100,54.4713236331872,247.008460871702,68.2805706325144,94.7232126125976,2134.03593146875,1932,1821.53642325782,1996,1925,1670,1920.5,87.6650236427081
"2024/2025",2025,121,121,100,51.3458084482325,201.799991850255,73.0042457387674,96.9317270324038,2125.51929539886,1868.5,1784.46729956397,1967.5,1876,1606,1875,88.7388952487031
"2025/2026",2026,120,120,100,49.8924592787996,208.448720356561,75.1690726150656,96.7413285612816,2023.21521213574,1775.5,1588.40611809934,1889,1721.5,1651,1714,83.7082582943067
"2026/2027",2027,120,120,100,41.7384954581089,180.897350238025,91.4457171034443,98.4048481558658,1559.25642845419,1264.5,1150.55613046022,1418,1222,1285,1221.5,73.5820827791622
"2027/2028",2028,120,120,100,44.1414118343091,153.03030877083,79.7352973053276,96.8332660629474,1900.75540105195,1665.5,1532.0328250543,1764.5,1636.5,1500,1627,81.5242816560781
"2028/2029",2029,121,121,100,56.5153381568767,247.726878838739,78.695283828976,101.200369041129,1974.96977305705,1691.5,1500.39139651849,1852.5,1626.5,1706,1626.5,84.5679830687332
"2029/2030",2030,120,120,100,48.0602198685287,193.223928540313,79.6454092721133,98.7151764832334,1895.90096694202,1632,1487.11771516694,1755,1605,1477,1603,80.6580746521249
"2030/2031",2031,120,120,100,50.7060933328424,240.284523207789,70.2215811075823,95.7019590656161,1974.80563999472,1756.5,1664.07298308785,1865,1766.5,1481,1760,86.3558539661326
"2031/2032",2032,120,120,100,50.685512609351,222.047632483733,79.0155688091339,97.3934648829995,1879.59394184759,1641.5,1447.08925879898,1763,1589.5,1587,1579.5,79.4065131017414
"2032/2033",2033,121,121,100,56.7855101070217,207.092724236968,78.8598888098869,97.4292477012091,1996.55212803534,1772,1628.10754933254,1861.5,1780,1625,1759.5,82.3921188638005
"2033/2034",2034,120,120,100,52.5810545986136,223.363846708476,81.5439098983085,99.8837258991705,1873.80591182034,1591.5,1427.93680510708,1745,1564.5,1569,1564.5,83.0802327141828
"2034/2035",2035,120,120,100,43.5231786776079,164.658604650794,87.0326802453154,99.2187995006001,1704.22134049461,1445.5,1248.11171579708,1597,1342.5,1435,1341,75.3816668146965
"2035/2036",2036,120,120,100,45.9670815763965,181.855458785167,76.5938206105296,98.1041668136163,1900.02752487114,1641.5,1462.45735168902,1780,1579,1529,1568,81.2265538321135
"2036/2037",2037,121,121,100,46.1107939092455,198.673031464242,76.6520899929157,95.5602069828658,1955.51268385979,1732.5,1656.52193742809,1810.5,1747,1427,1741,84.4238036466386
"2037/2038",2038,120,120,100,48.2403105863009,179.636710212725,88.0248482853843,101.193503968587,1782.87828332654,1476.5,1236.85686329643,1671.5,1388,1569,1383.5,78.4610489528732
