"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.9759035384271,151.169041226522,64.4735351572621,86.1689966000311,1815.11759723061,1750.5,1712.20963084742,1702,1745,1182,1709.5,82.1279266219088
"2002/2003",2003,120,120,100,35.1728342166926,140.06164953393,69.898605616421,86.873406863272,1878.14815764714,1765,1755.91782383141,1720.5,1833.5,1262,1796.5,83.3062225361087
"2003/2004",2004,120,120,100,48.0617872920341,192.968505005459,72.1021301111982,95.425765458843,1938.89998014727,1714,1575.89143817303,1778,1702,1490,1678.5,83.9185816842198
"2004/2005",2005,121,121,100,55.4576307502139,230.07702046591,65.4943570145992,92.4870604115371,2207.21761948223,2081,1964.28093298602,2068,2092.5,1691,2075.5,89.8214107574263
"2005/2006",2006,120,120,100,44.3947638122239,192.823087755256,60.4708046457522,86.7565161785064,2080.77332738561,2039,2006.77578052396,1978.5,2052,1438,2038.5,90.0705130218611
"2006/2007",2007,120,120,100,46.4763861700725,214.739610995824,65.9924314947528,89.6347372488765,2018.43534946573,1889,1820.02271403074,1855.5,1935,1455,1895.5,84.8909333800859
"2007/2008",2008,120,120,100,45.8036215618688,182.868129023451,75.6753235778592,94.5505352742212,1952.18439024701,1769,1647.97682705733,1840,1752.5,1497,1748.5,82.1032129348507
"2008/2009",2009,121,121,100,42.7913391993241,213.746354196202,68.295795372694,93.2136379142318,1996.89425440781,1807.5,1753.39280637555,1839,1829,1458,1821.5,87.9025283704784
"2009/2010",2010,120,120,100,46.8254774978244,180.691170961089,68.2085659350437,90.8158716280082,2038.39081072303,1864.5,1820.8905561456,1878,1913,1433,1900,87.2676298775045
"2010/2011",2011,120,120,100,54.7173687327027,218.513219633939,65.7240213647815,91.4420885045154,2248.70773878429,2130,2057.50654181521,2108,2166,1675,2166,91.5294107831089
"2011/2012",2012,120,120,100,56.7101283922205,203.977353527438,68.8193520256946,93.7468652396739,2189.41656160448,2056.5,1876.16097149316,2071,2026.5,1722,2010.5,85.7898432987349
"2012/2013",2013,121,121,100,40.957947648049,182.065517233684,69.7800462826872,92.9061794312398,1928.36000195473,1738,1693.87944409423,1742.5,1778.5,1300,1753,86.7409518354175
"2013/2014",2014,120,120,100,55.6060837024926,210.174752144188,72.5361567951741,95.6676067594088,2173.72059173499,1962,1775.63189467954,2038.5,1925,1818,1914,85.0512194146788
"2014/2015",2015,120,120,100,27.7486320982387,123.040796123459,79.2215892534304,94.5680724992353,1485.85492141415,1218,1078.24212005892,1359,1165,1148,1114,72.3398042695385
"2015/2016",2016,120,120,100,44.1757245198322,165.762497118304,66.612162235318,90.0296555633065,2020.63191285636,1868,1855.46414218687,1862.5,1935,1383,1913,86.4790229115617
"2016/2017",2017,121,121,100,40.1790290537132,179.064255448665,67.8223458515495,91.075589793675,1839.89660310058,1678,1544.00726301651,1702.5,1652.5,1355,1596.5,81.7517283594871
"2017/2018",2018,120,120,100,31.8133866428826,139.781168725845,71.89802641703,89.792998296031,1667.88761597348,1493.5,1456.58905857055,1553.5,1509.5,1153,1469,77.2779652988274
"2018/2019",2019,120,120,100,44.6424193782302,161.074871033637,80.5763876903897,94.9282392028252,1880.68369180951,1628,1519.28332147557,1718.5,1617,1467,1593.5,79.4821986050865
"2019/2020",2020,120,120,100,38.9635504229279,176.933393238803,65.350465626015,88.8587888158283,1906.57148848071,1766.5,1697.07251420604,1793,1772.5,1384,1742.5,83.7991670786892
"2020/2021",2021,121,121,100,40.7896225116708,174.883984973952,62.0855224799825,87.3784415484961,1948.6780091127,1815.5,1820.61274156163,1777,1877.5,1305,1820.5,85.9092488843803
"2021/2022",2022,120,120,100,48.5648343159633,188.003909639897,80.0273527488854,95.5837914611026,1849.02820973749,1641.5,1470.81375215949,1746,1578,1537,1570,81.2141854984147
"2022/2023",2023,120,120,100,53.9652842854494,185.85345997017,70.3696206251759,93.3256025452698,2014.10341848685,1860,1662.26752445706,1912,1818.5,1599,1790,83.2811572778769
