"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.5907596695693,174.299144529542,68.817067445036,89.8842053447737,1885.18393132766,1757.5,1711.06812889412,1776,1761.5,1338,1747,82.7305999628868
"2002/2003",2003,120,120,100,41.3730493315234,166.439899472931,74.7091440964262,90.0530002524008,1949.17340278795,1813,1740.67162234848,1815,1839,1441,1822,82.8278617160831
"2003/2004",2004,120,120,100,50.1443711451836,206.999096363044,76.4640454300617,98.8939446368325,1993.78507770696,1726,1577.61702161158,1845,1708,1628,1700.5,84.9793343146058
"2004/2005",2005,121,121,100,56.2786135933385,232.251860867784,70.1688288264913,96.1780331725706,2204.16791071917,2020.5,1846.12668988746,2060.5,2012,1762,1997,89.2502939911918
"2005/2006",2006,120,120,100,51.0114514303611,211.980460066346,64.76771085236,90.8626691877856,2127.15323747425,2009.5,1944.40561013567,2006,2009.5,1552,2001,87.6275301185149
"2006/2007",2007,120,120,100,49.7654119329778,218.643114487557,71.1976705595175,91.6218464305895,2016.16997899698,1873,1776.76561266106,1879,1896.5,1532,1877,84.6619084535472
"2007/2008",2008,120,120,100,51.1303455372915,192.473839010278,80.6271461947485,97.832747156067,1905.33556790159,1661,1472.97745375408,1795.5,1612,1569,1607.5,79.9073312845462
"2008/2009",2009,121,121,100,49.1367528591071,230.723509332916,73.3086498216191,95.407276965606,2004.8995551657,1810.5,1695.19459334931,1857,1814,1568,1811,83.8861025220633
"2009/2010",2010,120,120,100,49.5178606836155,197.265912151133,73.0608723995705,93.4192185162211,2094.83854278493,1914,1844.39014630697,1928,1941.5,1557,1940,85.7590888454556
"2010/2011",2011,120,120,100,59.2897110437914,231.615114808325,70.5375662653456,95.4837443944906,2289.34352537633,2106,1936.54162739793,2154.5,2089.5,1865,2089.5,87.7132690393757
"2011/2012",2012,120,120,100,57.1011954772701,205.05728160333,73.4879579194618,97.0561936367099,2171.24775424791,1975,1780.09201125799,2063,1942.5,1782,1938.5,86.1797852407947
"2012/2013",2013,121,121,100,43.71101942026,189.379459193174,74.357188870247,96.3884755135415,1944.01316068871,1715,1620.08552040637,1780.5,1722,1426,1713.5,85.5684154866462
"2013/2014",2014,120,120,100,50.055414809659,199.732087728742,78.2301686241938,97.4797389665555,2023.25149665606,1737.5,1600.91086481901,1883,1701.5,1690,1697,82.5015647022394
"2014/2015",2015,120,120,100,26.6334562604366,111.373903731182,85.3788293421129,94.3562457347973,1346.86927575649,1075,936.485508704403,1211,1040.5,1009,985.5,66.7547859676843
"2015/2016",2016,120,120,100,51.7637549231895,187.317721138917,70.9812143138253,93.920297480685,2094.45892743447,1906.5,1796.30194151166,1947.5,1944,1583,1935,87.4724499232157
"2016/2017",2017,121,121,100,41.6501601940977,184.784215974007,72.8830157501446,93.1630407842954,1809.14313494519,1615,1463.89674143914,1677,1583.5,1388,1541.5,79.0692228303014
