"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.4669306666292,111.813258326847,69.2358132742646,87.5080610032219,1884.14094924358,1821,1796.84131467448,1787.5,1832.5,1243,1817,84.125907634792
"2002/2003",2003,120,120,100,37.4674697361866,96.455952691594,74.8919539747888,87.8853181277467,1916.93104033868,1813,1821.46807936975,1763,1853.5,1249,1839.5,84.9934731507976
"2003/2004",2004,120,120,100,49.3645529834401,146.153467208072,76.9242022573261,96.9314432039899,2074.34984646354,1833,1741.20654994152,1904.5,1851,1555,1844.5,87.0667209833974
"2004/2005",2005,121,121,100,53.125838702105,163.895519549557,70.858832063835,93.6905342895196,2257.88914329014,2093,2004.46300658152,2091,2147.5,1691,2131,90.8955882539553
"2005/2006",2006,120,120,100,45.8807777219589,136.303431961764,65.4786344856109,88.0354930249984,2115.54944784386,2066.5,2058.66423145851,2004,2095,1442,2088.5,90.111210987495
"2006/2007",2007,120,120,100,45.3736564374266,155.827383883736,72.4631144829067,89.1307205349527,2009.84416686955,1914.5,1875.51739913846,1858,1954.5,1426,1940.5,84.4451654986016
"2007/2008",2008,120,120,100,49.6931549316014,140.33460675831,80.9755694498455,96.0954027147836,2021.88866347778,1813,1638.13588021714,1919.5,1782,1636,1775,79.4688540875093
"2008/2009",2009,121,121,100,45.0192202662718,165.389731319805,74.0706024485436,93.5258779861469,2055.09412735686,1871.5,1837.98377796914,1891,1907.5,1482,1903.5,86.0104752374681
"2009/2010",2010,120,120,100,45.1076957538346,130.364200139677,73.3310258397399,91.0451854260989,2084.19008923823,1931,1959.10313701414,1923.5,1996,1409,1992,87.2000694174792
"2010/2011",2011,120,120,100,56.9926385774388,161.799619085335,70.6931129224126,92.6033186539507,2310.87426172863,2206,2118.35642714801,2182,2227.5,1753,2227.5,91.6071064780067
"2011/2012",2012,120,120,100,55.1353642647439,150.834602634386,73.9332210419541,94.7367025700205,2237.78517823704,2065.5,1920.39429139577,2098,2046,1811,2038.5,84.8921248934098
"2012/2013",2013,121,121,100,42.775189616813,136.910709532044,74.6540487426072,94.3678577240876,1999.52147487467,1805.5,1765.73036144712,1854.5,1842.5,1423,1829.5,85.4596070703101
"2013/2014",2014,120,120,100,49.1524445113535,146.071788868563,79.0221723441549,95.4209250276788,2126.33703070827,1890.5,1752.29980893554,1983,1846.5,1740,1841.5,83.669885061413
"2014/2015",2015,120,120,100,26.7251163542912,82.8420011898867,86.16942762521,93.8894325588211,1432.24496774004,1135.5,994.115333619015,1307.5,1088,1072,1029,68.1035325586915
"2015/2016",2016,120,120,100,48.5494804071889,121.977958398424,71.2383886313871,91.4306337574044,2113.56619849057,1974.5,1934.53332327502,1956,2024,1507,2011,86.9057166286486
