"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.4948846913399,163.279376553856,66.1698339179844,87.8989338886768,1870.07342821082,1786,1748.57199099176,1764.5,1787.5,1258,1767.5,84.0674699292702
"2002/2003",2003,120,120,100,39.3329282065883,154.561387946139,71.6923453865421,88.4762240902926,1949.1940438349,1836.5,1799.02160648946,1808.5,1885,1376,1861.5,84.4701635193347
"2003/2004",2004,120,120,100,49.8810083312507,198.4030784469,73.8579821039394,97.1712677970228,2005.33805846289,1760,1618.74785546549,1847.5,1752,1565,1739.5,86.7869961010402
"2004/2005",2005,121,121,100,56.2034071558618,232.065740397822,67.4173329966756,94.3611774065172,2228.52637898207,2083.5,1936.78592829289,2082.5,2083,1756,2068,89.4091580892213
"2005/2006",2006,120,120,100,47.6442322123861,202.24187839973,62.3418865140453,88.56841773829,2103.74761423896,2027.5,1972.1526371427,2001,2029.5,1511,2016.5,88.7330281278055
"2006/2007",2007,120,120,100,47.5592347333096,212.899015563608,68.2512677007752,90.2562808351706,2017.98318817331,1875,1816.36821159623,1872,1924,1502,1894.5,84.6041981761574
"2007/2008",2008,120,120,100,50.3030866791597,194.644348596236,77.5471986373604,96.3852648355592,1984.66814663598,1767,1616.59100896273,1873.5,1745.5,1593,1741.5,82.3323565282178
"2008/2009",2009,121,121,100,45.0457292543518,221.09374353161,70.3605386120277,94.2949355408155,2025.58941996714,1841.5,1760.46611690134,1876,1838.5,1526,1835.5,86.2276358439642
"2009/2010",2010,120,120,100,46.4645175741942,182.876005918152,70.2762893657014,92.0024639012579,2072.84527519983,1902.5,1852.81752291193,1915.5,1945,1482,1939.5,87.9084120324408
"2010/2011",2011,120,120,100,57.3226586488282,219.33657084978,67.9002412570383,93.0724814814638,2282.34798591212,2148.5,2014.59350618675,2140.5,2149.5,1781,2149.5,89.7972432500865
