"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,33.8392393806793,146.424766846082,62.6261109624004,84.5806573429314,1745.18296839939,1706.5,1654.99433029324,1655,1704.5,1113,1657,81.8910410293771
"2002/2003",2003,120,120,100,35.0938039191293,132.360430116421,67.7461912488026,85.4628682569074,1853.73874387598,1786.5,1764.50895701188,1711.5,1829,1207,1786.5,83.8754812651983
"2003/2004",2004,120,120,100,50.1165476583267,198.204033058334,69.6524586249499,94.3098622483182,2041.18556124962,1803,1726.39368195239,1871,1816.5,1531,1800.5,86.4573205519945
"2004/2005",2005,121,121,100,47.8151332430601,197.663978853748,63.9834320377181,90.3145421540186,2124.69423346327,2009.5,1945.42313125406,1949.5,2044,1512,2013,89.1219998271625
"2005/2006",2006,120,120,100,39.5312453937545,171.821381839096,59.0654115765946,84.3440039160961,1938.49962923903,1902.5,1887.46687606827,1826,1932,1236,1908,86.536231743231
"2006/2007",2007,120,120,100,39.7432155195289,180.667973822332,64.7824889695031,86.3831568797232,1916.22810784701,1825.5,1818.82969748787,1766.5,1868,1313,1832,84.9379273709181
"2007/2008",2008,120,120,100,47.2880269714694,185.379562365087,73.3979584570719,93.772060876416,1970.29732506889,1790,1641.89903560413,1860,1760.5,1534,1743.5,82.3818238786594
"2008/2009",2009,121,121,100,38.5036808363403,192.312525642094,66.8937103648982,90.6106244083021,1937.51049735263,1797,1763.67633025787,1795.5,1828,1336,1812,84.7064324865145
"2009/2010",2010,120,120,100,41.1715038794128,167.607180461275,66.4135055530254,88.6150431187838,2014.50941501452,1898,1902.73941357844,1889.5,1935,1383,1923.5,87.193790020521
"2010/2011",2011,120,120,100,51.4847540168225,193.424982321726,64.2746642069776,88.9216144273699,2191.71457850366,2121,2065.06084117078,2062,2138.5,1566,2137,90.1231909270214
"2011/2012",2012,120,120,100,50.7124333515002,185.967142092181,66.9361803282624,91.278991890778,2139.78300460214,1999.5,1912.01890622158,2007,2027,1638,2012,85.425425333191
"2012/2013",2013,121,121,100,44.3974422366802,189.841127915687,67.4492321006573,91.9574229830684,1968.58212070088,1772,1744.45331034389,1829.5,1810.5,1394,1785.5,85.3247611571057
"2013/2014",2014,120,120,100,47.7604842541872,174.850443992499,71.3237403264594,92.4691612582409,2048.58571242792,1869.5,1757.57879741391,1896,1869.5,1543,1848.5,84.6160060677494
"2014/2015",2015,120,120,100,31.4670446981689,133.130626381438,77.5359697977009,93.5403831277173,1505.6087751356,1196,1011.76865456011,1356.5,1138.5,1219,1044,69.1071905232907
"2015/2016",2016,120,120,100,44.9398034504844,167.065315350574,64.5497281243391,88.564759081103,2022.62895739308,1905,1869.93529957311,1873,1957.5,1405,1925.5,84.9210087014101
"2016/2017",2017,121,121,100,40.2190366771775,174.743306529388,66.36317302927,88.335604274014,1803.02609533304,1641.5,1505.52326033171,1645,1648.5,1304,1558,77.4957962592989
"2017/2018",2018,120,120,100,34.5330622039276,145.163323450874,69.8073297737405,88.946151293974,1737.01104328749,1580,1488.13908971009,1572.5,1586,1185,1525,77.7165193068063
"2018/2019",2019,120,120,100,46.0085873118052,155.949613374994,78.3909494018818,93.4286636250545,1902.56451123917,1723.5,1564.64051159831,1773.5,1702.5,1489,1670.5,80.1341722727034
"2019/2020",2020,120,120,100,37.2086070504363,165.615860754831,63.6112198173403,87.4777167908742,1868.07733440892,1739,1637.83641528915,1732.5,1733,1310,1684.5,81.4355704056888
"2020/2021",2021,121,121,100,38.6053876211309,168.734844186214,60.2855771814966,85.664119333466,1912.34798176176,1817.5,1779.31329163841,1744,1873.5,1244,1805.5,82.0044049310454
"2021/2022",2022,120,120,100,48.868421466539,180.756604904872,77.6919906210199,94.5810809109177,1835.11251502901,1628,1424.89330320093,1740.5,1556.5,1515,1538.5,79.8435701738781
"2022/2023",2023,120,120,100,49.0555232988896,171.335198699863,68.8723905876912,90.7782610199249,1921.3612251623,1755.5,1576.67235607599,1775.5,1748.5,1471,1688.5,77.6637505320232
"2023/2024",2024,120,120,100,40.6139837921044,184.211374241056,59.5535938285469,85.7592154280058,2033.84607408031,1965,1944.49284774887,1896,2012,1341,1978.5,87.8457287177266
"2024/2025",2025,121,121,100,45.2256581085332,172.335637752412,63.5335554488442,88.0749937738843,2027.04132632012,1961.5,1911.69241725007,1940,1964,1401,1946.5,87.1071704963006
"2025/2026",2026,120,120,100,41.6616619953536,167.68450220277,65.6910184753571,88.8456899698873,1978.91285658565,1854,1765.50857857041,1868.5,1875.5,1438,1837.5,83.5014814822298
"2026/2027",2027,120,120,100,39.2290641530776,177.441457044856,79.6485881933304,96.0750247003309,1763.55626775109,1483.5,1416.66258040999,1611,1485,1340,1478,79.9184703857422
"2027/2028",2028,120,120,100,44.0476821960591,137.450050499849,69.1720622140504,90.3911800258654,1941.95705900218,1801.5,1694.3252559042,1797.5,1774,1407,1738.5,83.0194139921177
"2028/2029",2029,121,121,100,53.7906649376292,241.137242261189,68.7117288585241,93.7027670181393,2105.47828338548,1959,1840.77153465786,1976.5,1944,1633,1935,87.4205873262563
"2029/2030",2030,120,120,100,49.3927903615211,197.456890729928,69.3323700740805,91.4404321148079,1975.98918710505,1825.5,1743.55423468097,1882,1798.5,1504,1789.5,85.0214223433154
"2030/2031",2031,120,120,100,39.8930669717635,196.89914465251,61.5004508027809,86.8350244449965,1864.56746781569,1778.5,1733.19462140571,1764,1789,1278,1759.5,84.9087699884053
"2031/2032",2032,120,120,100,45.5737345517895,188.458276019796,69.1310214233357,90.575026186404,1924.10423940454,1742,1629.22237510694,1757,1785,1376,1734,81.0932878281351
"2032/2033",2033,121,121,100,46.2818936757913,181.374149098124,68.4097136680459,90.6259342834982,2037.6611332655,1875,1843.12339646871,1862.5,1937,1428,1901,86.0760466184893
"2033/2034",2034,120,120,100,49.6085932245053,211.964851745105,70.8591229975738,94.119268637863,2005.73935651811,1800,1710.34648672669,1858,1799,1531,1790.5,85.7533163867506
"2034/2035",2035,120,120,100,47.6434689905723,168.95965376708,75.7349968806076,94.4231742089192,1866.60662509571,1719,1538.74556330762,1797.5,1660.5,1479,1650,79.1139420151385
"2035/2036",2036,120,120,100,50.0674641587549,177.320590187587,66.7482930812881,90.7894636922304,1986.05534074099,1887.5,1699.52894518032,1877.5,1852.5,1506,1811.5,83.2666451999221
"2036/2037",2037,121,121,100,39.957507696614,164.834778822761,66.6605886999725,87.7256213367112,1874.81664353563,1781,1791.30883487393,1754.5,1823.5,1218,1806,85.432629202216
"2037/2038",2038,120,120,100,55.5668476308644,202.279714776948,76.6078393702036,96.5696784727965,2055.58518435287,1811.5,1609.21531474562,1941.5,1758,1746,1733.5,83.1308167933203
"2038/2039",2039,120,120,100,32.1840622608695,136.360767333572,65.6745011937813,84.901059264315,1814.74313515316,1768,1756.35199360543,1702,1807.5,1143,1777,82.7218520701263
"2039/2040",2040,120,120,100,34.952575685826,137.422797822573,57.8242365129915,82.4545565553959,1860.75511155868,1810.5,1835.91281934853,1727.5,1839.5,1129,1800.5,85.0879800165549
"2040/2041",2041,121,121,100,47.4645761619835,181.551193545805,64.6452356328356,89.0515806835745,2026.52560623642,1918,1866.43234022335,1914,1944.5,1442,1923,87.3067635387233
"2041/2042",2042,120,120,100,54.9510148363971,172.460647023514,68.9256372208585,92.4328085271709,2254.27449428255,2101,2044.63618661903,2086.5,2115.5,1692,2111.5,90.6129919730129
