"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.8778486381377,155.45789349048,62.5256442440762,84.4379944573697,1780.19405955384,1744.5,1658.36583906165,1681,1737.5,1171,1691.5,81.5140504733108
"2002/2003",2003,120,120,100,30.8769346595462,129.128234083219,68.3377558921793,84.853048224667,1778.02983616064,1653,1678.91300345543,1614,1746.5,1111,1696.5,82.1069882806342
"2003/2004",2004,120,120,100,45.32965112187,188.356984390288,69.6149129936353,93.9812748717725,1993.92605197089,1783,1711.6420972075,1804,1820,1419,1802.5,86.3461617417151
"2004/2005",2005,121,121,100,49.0607453018016,214.58381698527,63.4962702710904,90.834852528988,2159.66803579812,2042.5,1988.57233167636,2000.5,2094.5,1533,2071,89.8321381698425
"2005/2006",2006,120,120,100,39.4855208523283,187.590967301437,58.6431777912897,84.8176445258653,1988.72282529782,1964.5,1945.85990605004,1876,1978,1316,1953.5,87.7253111799165
"2006/2007",2007,120,120,100,40.4132591090522,188.295723639503,64.4831089382682,86.5488835504413,1890.27422517686,1794.5,1780.83465410869,1737,1849.5,1275,1806,83.6506764062714
"2007/2008",2008,120,120,100,46.245360996158,194.739147688951,73.3434003100302,93.9348312490875,1953.31865946917,1761,1602.13998867319,1861.5,1713.5,1543,1694,83.3214613124048
"2008/2009",2009,121,121,100,41.3715123483471,214.345232940073,66.3215267780641,91.5851606019409,2002.74159397748,1852.5,1781.2346422039,1860.5,1860,1440,1842.5,87.0262484861228
"2009/2010",2010,120,120,100,38.1183675029003,166.545480659947,66.5902313633412,87.9513827800517,1947.28400356144,1853,1853.49485389393,1823.5,1896,1287,1884.5,86.6496988635058
"2010/2011",2011,120,120,100,51.9785537872897,205.523306975624,64.0235519465453,89.4311392394966,2202.17469785278,2142,2054.60792821864,2069,2159,1607,2157,89.4819328187843
"2011/2012",2012,120,120,100,51.1379986649239,191.467161332193,66.6665938299159,91.8570395370838,2151.96394171493,2047,1917.55178680803,2031,2029,1649,2014.5,87.9494617430773
"2012/2013",2013,121,121,100,39.0566614881991,181.254151156232,67.8829376997362,90.9454824495948,1828.09856743907,1657.5,1629.39709412447,1709,1686,1261,1657.5,85.6999832090885
"2013/2014",2014,120,120,100,48.0743443449034,194.76627543237,70.7742919669456,93.0280962638797,2075.3953550951,1874,1767.66542232629,1907,1869.5,1570,1856,85.9173270415959
"2014/2015",2015,120,120,100,26.947080876785,121.787386243026,77.5702254585236,92.3176222328475,1436.42567691039,1154.5,999.842527899435,1300,1133,1073,1043,69.1755537305246
"2015/2016",2016,120,120,100,42.2915922125682,164.050882875329,64.6267517964054,88.0004881370763,1963.59665467098,1860.5,1836.47581105861,1828,1907,1324,1875.5,85.8104133825445
"2016/2017",2017,121,121,100,38.5527178747783,173.247095217734,66.0699629477664,88.4228225664061,1740.94593298254,1578,1443.84843023734,1600,1600,1250,1508,79.6388589503931
"2017/2018",2018,120,120,100,34.2190926268143,144.560833599229,69.6961169433539,88.8642139751018,1694.61392827412,1537,1431.96524151126,1553,1538.5,1174,1477.5,77.4959730947348
"2018/2019",2019,120,120,100,43.0763819898277,159.080015823637,78.5324798518383,93.6850133880323,1824.07511368694,1590,1454.38028300782,1686.5,1573,1433,1536,78.0141410076653
"2019/2020",2020,120,120,100,39.2908664606765,172.378774543269,63.3843807840277,87.7686655896822,1875.70790472861,1748,1650.45922071541,1756,1743.5,1315,1702,83.0669836477418
"2020/2021",2021,121,121,100,37.5649761330979,175.436388523584,59.9385450833046,85.9483213530166,1916.12856414328,1826.5,1806.81776115155,1727.5,1894,1183,1824.5,84.4514978331276
"2021/2022",2022,120,120,100,46.0598349623957,183.924711467997,78.1945524733413,93.3966954058616,1781.65969075848,1608.5,1428.55441862514,1697,1547,1421,1532,79.6968818588243
"2022/2023",2023,120,120,100,48.3313302762586,169.837712509684,68.6523226473441,91.5386265278379,1873.06280312569,1728,1512.66797524473,1779,1674.5,1479,1623.5,78.8240540118954
"2023/2024",2024,120,120,100,41.1466425604072,196.915042999268,59.4308264672292,86.0202587928682,2003.52481282961,1910.5,1874.37141822726,1866.5,1955.5,1335,1915,86.4480529135481
"2024/2025",2025,121,121,100,47.0240515389794,181.228565188668,63.1899273354042,88.4592604880011,2083.05110553495,2008.5,1970.27328546255,1974.5,2024.5,1450,2002,88.6524453739066
"2025/2026",2026,120,120,100,44.7173515664857,181.379820205266,65.0626098643097,89.4794000397842,2040.82266045455,1910,1810.25024931417,1919,1916.5,1515,1884.5,86.1831473692337
"2026/2027",2027,120,120,100,42.5269661523146,197.412985278324,79.1820999490604,96.9352973493287,1821.65097674179,1555.5,1429.16072505947,1687,1507.5,1459,1498,80.8104800918077
"2027/2028",2028,120,120,100,46.6757264486537,147.826796336701,68.735040002158,90.9999091643913,1992.76841014152,1851,1762.26641035408,1861.5,1854,1451,1828.5,85.4900015829153
"2028/2029",2029,121,121,100,51.9937339932572,243.593546306236,68.5930087645463,93.4337128024741,2014.92046716349,1849,1743.6859301543,1898.5,1847.5,1535,1837.5,86.3950346408665
"2029/2030",2030,120,120,100,46.7178049224553,202.374752104344,69.4921276712237,90.8972847824465,1920.518478082,1791.5,1694.93175498627,1821.5,1782,1415,1772,82.5230771101042
"2030/2031",2031,120,120,100,39.6398651955447,206.360682098473,61.2532367834743,87.3109457446448,1851.38511622076,1749,1682.69135371496,1707,1751,1247,1712,83.2042866413335
"2031/2032",2032,120,120,100,41.1814942607644,188.190901467291,69.3946443620412,89.9940267609767,1838.67483877328,1641.5,1553.16433977121,1678,1670,1358,1609.5,80.703827296833
"2032/2033",2033,121,121,100,44.3987147092116,183.241417059116,68.1963966463941,90.9659560306356,2036.61501160226,1869.5,1852.32178363587,1872.5,1929,1428,1897.5,86.4875769005939
"2033/2034",2034,120,120,100,50.4268891907293,218.322424275075,70.5118711258286,94.1890604038493,2001.10167390024,1792.5,1687.57138281569,1850,1765.5,1548,1757.5,85.8586965966515
"2034/2035",2035,120,120,100,45.9971961699508,175.333942646342,75.697492330749,94.9119292008058,1828.03833724608,1648,1450.30322799151,1747,1595.5,1477,1581.5,78.5645457050759
"2035/2036",2036,120,120,100,49.2832039730294,184.54538155535,66.5498372702428,90.8044567363799,1963.8346452469,1836,1665.35758310252,1852.5,1794,1505,1749,82.7381738357844
"2036/2037",2037,121,121,100,39.9336669549982,175.519307255035,66.5821485735013,87.5731068944063,1893.23347828959,1818.5,1807.11203934805,1775.5,1845,1236,1826,85.4273337225532
"2037/2038",2038,120,120,100,56.4975102805289,206.356886563002,76.2012902865446,96.7373668464434,2053.7361950359,1803.5,1623.09417949782,1928.5,1774.5,1719,1760,83.9393755452547
"2038/2039",2039,120,120,100,35.9357415008246,159.801202441738,65.4840926340573,85.5646537426338,1857.44237471122,1803.5,1727.38860698739,1736,1845.5,1278,1800,79.7794639590402
"2039/2040",2040,120,120,100,32.7613360928209,135.021519586009,57.8660016709199,82.5201016123087,1834.85765846631,1775,1807.05012825076,1687.5,1834.5,1069,1789.5,84.1223303020197
"2040/2041",2041,121,121,100,44.6477327205077,182.829732439217,64.7155046822739,88.8776701476193,1988.65514382769,1890.5,1847.01285212924,1880,1919.5,1376,1893.5,87.9120785909854
"2041/2042",2042,120,120,100,51.4497760791712,166.916361242498,69.0275152878181,92.2579586358039,2179.43897457245,2019,1983.2339883105,2017.5,2048,1579,2043,89.0778396004071
"2042/2043",2043,120,120,100,22.6259644202028,95.3913199292234,60.8454221221326,77.5729314541645,1474.7642424433,1436.5,1482.46367208423,1331,1518,765,1416,73.6908184149206
"2043/2044",2044,120,120,100,55.0680087801858,224.971998812782,72.526135881738,95.8454686377993,2110.71246423112,1879.5,1725.35638952035,1968.5,1844.5,1726,1832,86.4176507202874
"2044/2045",2045,121,121,100,46.1464831193449,177.041522227071,66.177409935799,89.6616221604358,2100.11804096657,1999.5,1947.22176169638,1940,2039,1497,2016.5,87.3313325510408
"2045/2046",2046,120,120,100,39.4940109346091,172.188834558765,72.4537391761287,93.4137954855043,1806.39197260854,1610.5,1502.69104451009,1668,1615.5,1293,1592,81.0653246210995
"2046/2047",2047,120,120,100,48.5751783525284,181.190733491303,71.7762150396643,93.7134957524299,1986.51638823835,1792.5,1677.05512121505,1815.5,1810.5,1517,1772,82.2362993748575
"2047/2048",2048,120,120,100,38.175563810131,146.226253862434,76.8553064184199,87.4427510683017,1790.61957872403,1686.5,1692.44163344422,1667,1722,1217,1696,81.4091510707067
"2048/2049",2049,121,121,100,53.0436622105816,223.516235839885,64.8914866683256,92.7344698047634,2192.79086134338,2059,1991.88871453569,2035,2094,1599,2087,90.2738748691208
"2049/2050",2050,120,120,100,51.3791586543134,207.386585781539,71.8444160499632,95.6810350331765,2079.35448202197,1890,1742.96096961515,1958.5,1857.5,1655,1855,85.0135952674918
"2050/2051",2051,120,120,100,60.9260065796299,244.907837267454,75.4574130699896,98.3630512894053,2164.00420177856,1939.5,1668.52208084559,2037,1862,1895,1849.5,84.3025730678737
"2051/2052",2052,120,120,100,50.0232330773007,199.82564444117,67.2017977323933,91.6410984725759,1971.0570498835,1800.5,1656.0386326041,1850,1794,1532,1748.5,81.3498855581665
"2052/2053",2053,121,121,100,37.8859170851318,136.613451233749,68.9568580089311,85.3986145835484,1825.81084947442,1728.5,1625.92482898688,1668.5,1763.5,1235,1695,80.3919934517544
"2053/2054",2054,120,120,100,40.5429339549341,147.75136017655,63.9260399425718,85.0314036828711,1844.22784468008,1777.5,1745.98655205492,1728,1800,1213,1754.5,82.881254391591
"2054/2055",2055,120,120,100,48.6540973274945,187.354981419918,61.3879259105876,86.7936695212107,1987.16532944396,1905.5,1825.37763206913,1872.5,1914,1395,1867.5,84.5131134791836
"2055/2056",2056,120,120,100,40.9329470629031,177.939226520784,68.1514158151723,90.8330481597081,1921.72747391599,1742.5,1649.34975502876,1770,1729,1425,1699.5,81.5390835237504
"2056/2057",2057,121,121,100,54.4724013400126,197.972686048461,66.940932056781,90.2486865904348,2082.77645543063,1896,1651.81945441293,1883.5,1905,1706,1802,80.3511613838118
"2057/2058",2058,120,120,100,36.6594792759811,165.082288649484,70.4650093197801,90.2880021456937,1824.01985550419,1707,1638.93177231649,1732,1688,1306,1674.5,83.3885343355842
"2058/2059",2059,120,120,100,45.6263648420985,206.784299004434,60.5025772568133,86.5372873004196,2029.75744569581,1950,1911.41929163538,1894,1973,1370,1942.5,86.6438485173921
"2059/2060",2060,120,120,100,43.4642582967156,182.891412911996,76.646408173628,93.7492047594914,1811.18749247686,1585.5,1441.31174308206,1696.5,1533,1451,1509,80.2049083910442
"2060/2061",2061,121,121,100,41.0880346363616,178.361070362338,62.663709026445,87.5092491402332,1894.29943020659,1781.5,1767.73564808269,1756,1823.5,1259,1788,85.9651332755893
"2061/2062",2062,120,120,100,44.3536702704428,145.672641541763,67.7112459989479,88.0467499334894,1820.36771056755,1589.5,1359.99662202716,1620,1612.5,1422,1476.5,73.6689262886284
"2062/2063",2063,120,120,100,48.4421559035894,199.38547595676,73.5706374727987,95.5099685646123,1981.06599180383,1774.5,1609.39781148233,1823.5,1760,1596,1729.5,82.626520631834
"2063/2064",2064,120,120,100,50.6225568875059,202.882220390451,72.8261288193176,95.4819188452538,2013.82937160638,1769,1696.8368871649,1863.5,1783,1519,1778.5,85.9397834088641
"2064/2065",2065,121,121,100,38.4921477098974,157.781375049342,69.9400565004608,90.584882636126,1798.19294041733,1650.5,1569.52968251992,1682.5,1641,1248,1605.5,82.3340983826583
"2065/2066",2066,120,120,100,45.1498705607426,191.236616965119,64.2564335546501,88.7332643439774,2024.91813893878,1885.5,1846.98690956298,1874.5,1927.5,1427,1898,87.3490000857782
"2066/2067",2067,120,120,100,46.8447102656506,201.319780762677,63.4382270451945,88.97230449922,2091.66197370729,1981.5,1926.67710381196,1952,2026.5,1466,2011,88.5671284214004
"2067/2068",2068,120,120,100,57.2511045271887,228.763100842575,71.6591011057993,96.9018352810855,2062.93265211853,1824.5,1702.34201541152,1904,1809,1644,1800,85.9631890776072
"2068/2069",2069,121,121,100,36.8419251065804,157.378963741509,60.236688805305,85.4322642307051,1814.98512416781,1727.5,1780.18438184555,1679,1786.5,1060,1748.5,83.7796249521798
"2069/2070",2070,120,120,100,48.7537738568645,188.395895750989,69.3564661405334,90.7492248685778,1885.11626751817,1678,1547.21732990873,1718,1695,1423,1633.5,80.0071810724294
"2070/2071",2071,120,120,100,40.986534506819,168.79961815712,67.1482827669392,89.9653232799371,1950.88401676356,1817.5,1775.81803381953,1794,1845.5,1333,1826,84.1460972516907
"2071/2072",2072,120,120,100,44.9449517615748,164.321862583184,70.5069667880229,91.2367738252174,1983.39773758463,1830.5,1707.1425225093,1841,1830.5,1436,1800,83.9287027515529
"2072/2073",2073,121,121,100,44.3721039781272,205.909520701176,63.3985175196107,88.8694849028496,1842.79909852473,1710.5,1528.21095972593,1718.5,1694.5,1362,1615,77.21833108799
"2073/2074",2074,120,120,100,34.0505023920668,135.731948672908,62.6975820663324,83.913448762231,1887.70532784541,1837,1861.11020603435,1727,1922.5,1131,1886.5,84.4698030446652
"2074/2075",2075,120,120,100,35.3462723066171,142.701303689657,70.2834424917426,85.2989063264126,1611.55629022091,1412.5,1284.38603216016,1348.5,1512.5,1129,1364,73.6466132738315
"2075/2076",2076,120,120,100,32.8924865244228,150.759023535389,64.0075074922587,85.8249334115799,1701.6692385544,1598.5,1553.50274226197,1590.5,1605,1103,1547,80.4014806986543
"2076/2077",2077,121,121,100,44.2249700269029,182.285610834114,60.1801606797363,85.7149584751348,2035.73096876152,2001,1958.28693900405,1916,2023,1369,1989.5,87.3483360480914
"2077/2078",2078,120,120,100,52.8277016586788,210.628056898126,73.2836963870916,96.681687201919,2042.17637292066,1829,1654.05376998474,1919,1776.5,1616,1770,84.5040650913288
"2078/2079",2079,120,120,100,45.0365450575591,165.825962037706,75.978497852054,94.264554228848,1998.1909952265,1790.5,1787.08311121809,1825,1856,1416,1856,85.5765332567426
"2079/2080",2080,120,120,100,49.77191112477,185.554591255882,66.3811270736409,89.5834782364096,2070.71658342745,1977.5,1930.72022356615,1924.5,2011,1448,1992,85.8056543784769
"2080/2081",2081,121,121,100,43.9491228755949,163.125435543461,62.2827127987431,87.285161272153,2037.94283089458,2000.5,1901.41484277243,1942.5,2020.5,1414,1987.5,86.6595431960668
"2081/2082",2082,120,120,100,35.2029612041357,147.084990411723,64.9978625950195,87.5154585694329,1805.9752742681,1650.5,1676.62060140033,1636.5,1732,1131,1679.5,80.737900210137
"2082/2083",2083,120,120,100,46.0098023867678,187.349467637384,65.4843074570001,88.4778646963711,1971.08465252569,1831,1759.64635255695,1840,1882,1420,1835.5,81.9723728524987
"2083/2084",2084,120,120,100,32.0131709474871,146.670405431998,61.7584266642083,83.2733560431432,1740.70529276787,1660,1676.66663029812,1595,1721,1077,1657.5,83.1460863640914
"2084/2085",2085,121,121,100,50.7878526952137,206.377755871122,76.456220962409,95.4379739631967,2043.39371419261,1801.5,1676.76526075928,1890.5,1792,1629,1777.5,82.8487121211801
"2085/2086",2086,120,120,100,41.2138387740627,189.996244300783,66.4167839336889,90.7534773335039,1962.05306307896,1795,1781.12839994285,1817.5,1801.5,1335,1795.5,84.7588278397634
"2086/2087",2087,120,120,100,44.3233324488081,158.277061543998,71.7103258056757,91.5134470536699,1867.48741148115,1717,1618.56333585911,1723.5,1732.5,1378,1701,81.5452020138364
"2087/2088",2088,120,120,100,48.606554895631,190.762543580184,68.4539059140776,92.2436063229309,2079.68148652086,1904.5,1850.64271123457,1918.5,1956.5,1507,1931.5,85.7056090503302
"2088/2089",2089,121,121,100,42.722202888926,171.709124473803,71.2806234366285,89.356256704332,1812.74490543001,1659,1596.0136587301,1641,1702,1233,1643.5,79.8024408071087
"2089/2090",2090,120,120,100,43.713925600831,192.510326819266,66.4771184283375,91.4323355776114,1959.90557437099,1802.5,1815.85881849231,1811.5,1852.5,1316,1845.5,86.0334958361291
"2090/2091",2091,120,120,100,54.8501833029145,196.261128636529,76.5715248551214,96.0048704603001,2059.69565834489,1857.5,1700.95668546323,1905.5,1848,1632,1837,84.0508068392537
"2091/2092",2092,120,120,100,48.0531073175412,177.517856643534,71.692801608313,93.0720736122404,1880.06930567115,1733.5,1615.69439863129,1794,1686.5,1404,1674,83.4521532174131
"2092/2093",2093,121,121,100,49.1119868414738,209.670049117405,72.397925957447,95.3780362876452,1996.9002184397,1800.5,1699.64351899172,1877.5,1776,1505,1772.5,85.613841368322
"2093/2094",2094,120,120,100,42.7110289618117,150.924848585478,65.6264321374403,87.1481646780947,1861.68610345601,1754,1671.82720589492,1736,1762,1303,1710.5,82.7858455216719
"2094/2095",2095,120,120,100,37.9218771951144,161.346303340033,67.9469907223471,89.7940956851755,1728.18466639012,1555.5,1536.86451018355,1599.5,1573.5,1155,1542.5,81.1444692429741
"2095/2096",2096,120,120,100,53.7587498693689,219.360508917805,64.4510821060145,90.5823373413748,2053.51598488097,1960,1863.43024515813,1957,1939,1509,1929.5,87.0820090452089
"2096/2097",2097,121,121,100,42.4077027568885,188.149523973136,60.5417263196057,83.8471682157105,1803.65619417245,1660.5,1561.99776689129,1580.5,1733.5,1237,1611.5,78.3068469076934
"2097/2098",2098,120,120,100,41.4307344157532,190.060093634551,66.6347292810198,87.2709405160072,1705.51286783605,1541,1333.74891904981,1537.5,1521,1310,1414.5,74.8128892898112
"2098/2099",2099,120,120,100,40.8025590606033,175.154988221834,68.497685417421,91.6361172763535,1837.44030887616,1659,1599.27024364047,1697,1660,1285,1632.5,83.871618510504
"2099/2100",2100,120,120,100,41.5430222779354,157.021818074464,73.9802761168823,88.1464510616916,1846.84258403635,1716,1623.11535031165,1717.5,1709,1377,1662,80.1883712875297
