"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.255897083938,172.186955358716,66.2801274100543,88.5116078008586,1820.58015978896,1708.5,1677.03173692877,1714,1719,1226,1697,82.8996678714807
"2002/2003",2003,120,120,100,42.7175868667244,175.691449069827,71.6523971341212,89.2711657788244,1968.72797081542,1865.5,1778.81093363537,1843.5,1888,1468,1864.5,85.0745380997643
"2003/2004",2004,120,120,100,52.9782449080466,225.171728869128,73.613821744464,98.1156335037143,2043.30085469676,1765,1624.4612999734,1891.5,1747.5,1633,1738.5,85.7737007219047
"2004/2005",2005,121,121,100,52.6829087860848,227.271945728131,67.9168965341184,94.1399993379538,2152.54888485932,1973,1841.8600198512,1996.5,1988.5,1700,1968.5,88.3986886068836
"2005/2006",2006,120,120,100,47.6927539140951,205.759209513673,62.584975368414,88.7690223700003,2015.6240963733,1927.5,1858.39322774851,1879,1905.5,1401,1891,87.9296689306772
"2006/2007",2007,120,120,100,46.138636525889,211.61540347724,68.6434983437943,89.8991558691388,1991.41284332682,1874,1800.87588658738,1856,1909.5,1457,1887.5,85.505706934197
"2007/2008",2008,120,120,100,51.132962514361,201.960318888401,77.6602786717673,96.9682227938316,1937.39320048566,1704.5,1527.45890957918,1825.5,1665.5,1568,1657.5,81.3992197309015
"2008/2009",2009,121,121,100,45.7616838430239,227.271542151763,70.9302982182757,93.5520687263084,1965.23185437516,1803.5,1711.52242203333,1838,1815.5,1485,1807.5,83.9315694768441
"2009/2010",2010,120,120,100,48.0241135342691,200.886122005398,70.3263546705854,92.3252486124038,2077.91940207262,1898,1848.15566509549,1925,1935,1526,1927.5,86.1743502952054
"2010/2011",2011,120,120,100,55.3402262883749,226.180116048178,68.2543752338164,93.3319645162844,2226.77738449817,2071.5,1949.861286663,2090.5,2064.5,1727,2064.5,89.7398598086988
"2011/2012",2012,120,120,100,54.7846086087315,207.830706110716,70.8324182886709,95.1360390642619,2163.78651022103,1992.5,1840.50686858196,2046,1979.5,1708,1973,85.8936441161941
"2012/2013",2013,121,121,100,46.4911242374496,206.234733849329,71.3471392154403,96.046201559107,2003.98786332447,1777.5,1675.77292034752,1845,1782,1475,1772.5,87.3114402186261
"2013/2014",2014,120,120,100,49.0111570530977,190.074096185901,75.7044721430128,95.6486211022932,2011.53055101023,1767,1639.58293506175,1873,1745,1644,1729.5,82.2319487614798
"2014/2015",2015,120,120,100,30.4701145586623,128.244983698931,82.0519330013079,95.1282722499131,1443.40188848641,1120.5,966.621715415289,1311,1092,1140,1028.5,70.1926180262278
"2015/2016",2016,120,120,100,51.1979445841382,198.044351077218,68.3259926719928,92.9047463754403,2105.8403354439,1939,1824.41311395602,1966.5,1958,1587,1943,87.7193009632824
"2016/2017",2017,121,121,100,42.0577153335453,193.528294103252,70.2296728971055,91.8464209351176,1840.2012474202,1658.5,1509.8412317048,1699.5,1643,1387,1583.5,80.5375878157042
"2017/2018",2018,120,120,100,38.3684301475619,174.602790086026,73.9875158370304,91.8746668271093,1752.51976045911,1548.5,1449.48850299331,1610,1541,1316,1500,76.3320060693322
"2018/2019",2019,120,120,100,47.4240483676554,171.115592509035,83.1274205752358,96.1659048822093,1862.47216959891,1646.5,1437.69447766009,1737,1572,1578,1545.5,76.3874995446745
"2019/2020",2020,120,120,100,40.3924254133675,188.241829193674,67.2797132165522,91.3048402322313,1905.77372614027,1737.5,1629.01486292263,1776.5,1708,1385,1686.5,84.3785311267843
"2020/2021",2021,121,121,100,44.0867097493764,201.731933397539,63.7582021425941,89.9853019865692,2004.89478549067,1861,1798.97698466365,1842.5,1896.5,1460,1848,86.553607769662
"2021/2022",2022,120,120,100,44.8625978827172,185.830614397037,81.9930828737937,97.5646893677988,1761.69717073911,1509.5,1307.83916826199,1671,1427.5,1502,1422,78.0382756693148
"2022/2023",2023,120,120,100,50.5418887565563,178.834221851732,72.97766816861,93.9410309071076,1898.36633997493,1706,1519.96358989361,1782,1658.5,1501,1623.5,80.1386615716965
"2023/2024",2024,120,120,100,47.9448123468651,224.873907264864,63.0210557917795,89.9193342514125,2122.28408752866,1988,1925.10894878935,1978,2000.5,1560,1987,87.5373629128703
"2024/2025",2025,121,121,100,48.8752244897433,192.884460330634,67.3907257584509,92.4545187912407,2094.81597874899,1906,1878.6627668323,1950,1931,1491,1923,89.616283799528
"2025/2026",2026,120,120,100,45.77910412635,189.287614580602,69.6018833537089,92.5810298115754,2021.47757874883,1855,1707.11691673427,1901.5,1848.5,1517,1828.5,83.416102494461
"2026/2027",2027,120,120,100,40.0916222397553,179.354007841765,84.4069517208619,97.139525692125,1666.84122490911,1395,1295.2118020778,1531,1361,1273,1357,77.552808478757
