"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.9900266853168,166.359551049683,63.8470954082194,86.8233538288255,1821.59921012392,1740.5,1718.10464843474,1722.5,1764,1178,1740.5,83.4847509937408
"2002/2003",2003,120,120,100,40.9259224405173,161.029785725338,68.9890976445863,87.855767563893,1999.3254979198,1912.5,1874.08151741934,1826,1968.5,1377,1940.5,86.0574507156232
"2003/2004",2004,120,120,100,53.7398567282021,220.280787721256,71.3357206823237,96.1644908797892,2073.03862163356,1828,1700.00430554847,1905.5,1821.5,1628,1806.5,86.3634373488272
"2004/2005",2005,121,121,100,53.3802745707525,224.273316693744,65.4468485689045,92.6408953735565,2186.55795696367,2061,1928.41884488957,2009.5,2051.5,1631,2024.5,88.0179163468172
"2005/2006",2006,120,120,100,46.628266604065,203.721838632966,60.5703873472766,86.530032503685,1976.34503245276,1910,1833.55448096106,1897.5,1921,1398,1895,84.5735663981868
"2006/2007",2007,120,120,100,42.711801208646,199.360650796693,66.3062005349464,88.1976766151153,1967.341787887,1861,1822.45937148034,1816.5,1910.5,1379,1880.5,84.9981189468042
"2007/2008",2008,120,120,100,52.8259527528057,210.20987307208,74.64963099134,96.2879064732145,2060.72089047421,1832,1688.40268969935,1939,1806.5,1643,1802.5,84.3425169125276
"2008/2009",2009,121,121,100,42.0823408195378,220.286210130285,68.2366754464386,92.7967896615609,1985.54257627885,1843.5,1764.30005217424,1860.5,1836,1482,1829,87.4659427681311
"2009/2010",2010,120,120,100,45.3639302050551,187.023597907624,67.9953663175471,90.6345403900872,2025.77846673453,1869.5,1830.90795706474,1884.5,1893.5,1439,1882.5,87.9715666529303
"2010/2011",2011,120,120,100,52.9526971171757,206.462171239588,66.1856740124236,90.9525695338196,2161.53022703919,2033,1927.65575920473,2022,2026.5,1624,2023,88.0813741706904
"2011/2012",2012,120,120,100,56.2884786562902,208.668196121352,68.2922782078759,93.591144124858,2214.13867241231,2069,1946.91958535181,2080,2071,1723,2066,89.2949229397818
"2012/2013",2013,121,121,100,46.7439501997379,203.080426686085,68.867520303079,94.2659528371409,2020.05299918112,1819,1739.12923078622,1869.5,1829.5,1464,1813.5,88.6351095772736
"2013/2014",2014,120,120,100,52.6982940207373,193.287127201811,73.0182462136791,94.4011905691845,2082.30187235637,1883.5,1722.97352222959,1945.5,1862.5,1682,1840,84.7046412416528
"2014/2015",2015,120,120,100,33.8457223173492,147.922009525147,78.6105337066861,95.470512618551,1594.84769897417,1293.5,1152.35494904634,1473.5,1243,1269,1195,73.4431045308359
"2015/2016",2016,120,120,100,49.3306105973159,192.280671463462,65.8476143032295,91.0275318841936,2136.63108305878,1990.5,1953.34485547959,1987,2039.5,1556,2024.5,89.4508283923501
"2016/2017",2017,121,121,100,40.1904338808632,187.38539828952,67.7758143850122,90.2074237508531,1830.31487578643,1679.5,1555.89719955091,1701.5,1661.5,1345,1610.5,81.6315341180616
"2017/2018",2018,120,120,100,36.7586759831435,164.832230896358,71.1300111983308,90.9952287399097,1790.42746586206,1627,1538.15384473166,1668.5,1624,1280,1589,79.084148009711
"2018/2019",2019,120,120,100,49.4545512456968,175.92439748522,79.8231625223945,95.6102493274842,1965.81808245358,1759,1586.97051802505,1846,1737.5,1590,1716,80.2808284667226
"2019/2020",2020,120,120,100,38.6660662261914,182.945601711649,64.8792954948223,89.6064658366109,1928.74216363706,1768.5,1696.39688392,1802.5,1757,1385,1728.5,86.3628059752532
"2020/2021",2021,121,121,100,39.1947058411589,177.780570817581,61.7722276641309,87.474957709772,1943.89256725406,1812.5,1819.93023507294,1767.5,1892,1282,1840.5,83.8450303826639
"2021/2022",2022,120,120,100,48.8375993150115,191.390816972432,78.9169948857763,96.9444418127866,1851.06047390665,1637,1435.94443076848,1763.5,1549,1563,1545,81.0520395392209
"2022/2023",2023,120,120,100,49.8423496953206,182.340764275708,70.0760458516266,92.852472423492,1982.49079249724,1803,1679.59570773359,1858.5,1784.5,1525,1757.5,83.5400400883077
"2023/2024",2024,120,120,100,45.9027802455426,215.167294765519,60.7574515044979,88.0300735534772,2144.34030201742,2052,2010.11993599978,1992.5,2093,1493,2075,89.5378366745877
"2024/2025",2025,121,121,100,50.5993168276104,195.682911381436,64.9420770664862,90.4147145629719,2152.54674050807,2020,1984.0715931735,2004,2055,1507,2041.5,89.0506416635899
"2025/2026",2026,120,120,100,43.2345996004877,181.146555332536,67.3327203591188,90.7528536135226,2008.83274150226,1864,1732.33196688377,1882,1854.5,1488,1823.5,85.3128326153201
