"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.477989035809,146.810898473953,64.3454875609539,85.7363758901555,1810.97738538855,1762.5,1721.26532669971,1731.5,1764,1178,1736,83.155729255393
"2002/2003",2003,120,120,100,34.8461129819193,129.470565151066,69.8944569774022,86.3401452176721,1877.17192189911,1765.5,1778.68908729263,1707.5,1842,1209,1809.5,85.1553106974383
"2003/2004",2004,120,120,100,48.5986254980031,188.79586265533,71.7319819436079,95.3233752400959,2037.08758141423,1794.5,1702.80669839946,1871,1809.5,1515,1797,86.1768683538859
"2004/2005",2005,121,121,100,52.0575976779691,208.326667639131,65.6257145359127,91.9681850034969,2198.35845122699,2074,1994.29470282108,2044,2114,1648,2092.5,90.6505972482025
"2005/2006",2006,120,120,100,42.6299171522939,178.889452246081,60.5213087194416,86.0346280705873,2039.64355179139,2017,1984.2829788664,1924.5,2023.5,1351,2008,89.6763537527981
"2006/2007",2007,120,120,100,42.8620842928703,187.749589722438,66.5221471366469,87.9343975431287,1969.13419448023,1860,1846.03953267638,1824,1915.5,1387,1885.5,84.7123885653261
"2007/2008",2008,120,120,100,47.826173510994,181.994907462735,75.339652839254,94.7795435025848,1995.13941324233,1804.5,1660.28810706284,1886,1775,1562,1764.5,83.9199038162931
"2008/2009",2009,121,121,100,41.9420532192278,201.537554423248,68.4915178020373,92.3799011696627,2014.88112348706,1855,1807.64782531471,1863.5,1879,1439,1871.5,86.319911342621
"2009/2010",2010,120,120,100,42.7602347766872,167.409613441873,68.2786535191645,89.6896066594768,2025.35186091883,1888.5,1890.04743010026,1882,1931.5,1380,1926,87.6117553132331
"2010/2011",2011,120,120,100,54.1052895728035,199.751202096582,65.8787397684531,90.5586734363516,2251.74463770693,2172,2081.7557437073,2121,2181.5,1665,2181.5,91.1166414008399
"2011/2012",2012,120,120,100,53.8523477801615,189.187727381757,68.6262882668285,92.9869332622958,2199.75703728906,2065,1943.08766182268,2081,2068.5,1730,2061.5,88.2005193023949
"2012/2013",2013,121,121,100,42.4318057476706,179.203869027802,69.6913297296253,92.7176087427087,1940.83854537801,1745,1713.90816634049,1801,1779.5,1365,1763.5,85.9411084450071
"2013/2014",2014,120,120,100,50.8105079596819,185.27005038001,72.9296695517759,94.1494680831847,2118.22299467436,1920,1781.5449447087,1965.5,1887,1681,1875.5,86.0584296328268
"2014/2015",2015,120,120,100,28.5502923352043,120.633768250762,79.6483444780677,93.8609485316279,1481.25699737299,1184.5,1034.8963729556,1357.5,1144,1135,1078,70.0159721703762
"2015/2016",2016,120,120,100,45.0143421081594,162.262753532006,66.4499843119182,89.586428563282,2047.88904357003,1923.5,1898.5233235475,1900,1981.5,1420,1964.5,87.3153991145305
"2016/2017",2017,121,121,100,40.3242684871055,169.021393557977,68.0995597419993,89.8399386828648,1823.41216937382,1663,1534.66645716297,1692.5,1659.5,1341,1596.5,80.4408310116974
"2017/2018",2018,120,120,100,34.0135087690137,138.174243892951,71.7217019195475,89.7721172059851,1724.18292306876,1560.5,1484.8232997221,1562,1560,1160,1512,77.4498873391494
