"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.5187330233353,167.567373590968,64.8409870340681,87.3299650447118,1823.17904361674,1752,1702.22927582225,1723,1745.5,1205,1718,83.1113286603629
"2002/2003",2003,120,120,100,39.9364994628506,163.423078799856,70.1678896328493,88.1103646452871,1953.64175427915,1854.5,1803.31216746977,1811.5,1895,1390,1869.5,84.6704820771788
"2003/2004",2004,120,120,100,52.036891430852,216.508582048525,72.2190633087101,96.8849479596184,2046.17372730791,1782.5,1659.30367942779,1887.5,1793.5,1611,1782,86.6001590850429
"2004/2005",2005,121,121,100,52.8200154853638,227.034664182572,66.3125782350681,93.2662225518082,2178.19821582392,2023,1905.16355425626,2025.5,2038.5,1689,2017,88.9186426030326
"2005/2006",2006,120,120,100,46.1631108340879,200.728247779648,61.262001751391,87.5081898363605,2018.01275822128,1948.5,1886.63655752589,1903,1945.5,1381,1928,88.5369897215743
"2006/2007",2007,120,120,100,44.6151864690698,207.234258603528,67.0992548798145,88.9310934213791,1979.50576472114,1857.5,1814.5740593533,1838,1910,1422,1881.5,84.165669981874
"2007/2008",2008,120,120,100,50.9400953932914,202.641070272032,75.9908026426284,96.1101210440213,1980.10749319609,1764.5,1603.04054546788,1879,1730,1586,1722,82.9763696607647
"2008/2009",2009,121,121,100,43.527303964995,222.291172944976,69.2218077127847,93.1023928120773,1983.62063323076,1823,1746.75126369948,1848,1827,1481,1820,83.6393443203308
"2009/2010",2010,120,120,100,46.0156541113953,191.172089509608,68.9137717893549,91.218523870928,2059.1187739261,1892,1861.95855539164,1915,1948.5,1486,1940.5,86.5597145726292
"2010/2011",2011,120,120,100,55.5478781519119,219.353039509553,66.8056995992931,92.0038723132651,2233.29599978676,2104,1989.74044928856,2102,2092,1734,2092,89.8003261632748
"2011/2012",2012,120,120,100,55.140221464461,206.853699104272,69.3238626664424,94.2692331786414,2182.73347812506,2028,1885.86193795182,2057,2008,1720,2000,86.8241532045372
