"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,32.6541392883088,146.034810620045,61.8426825041451,83.8157426272933,1730.31815523193,1685.5,1623.17600193415,1627.5,1681,1098,1623,80.2152701295578
"2002/2003",2003,120,120,100,32.2987961248655,126.557214198616,67.3153658974859,84.4704317865419,1781.76144481167,1697.5,1671.20588548921,1620,1749.5,1135,1688.5,80.8624287207416
"2003/2004",2004,120,120,100,47.94529844473,197.803698877392,68.6626535399764,93.7314860342106,2015.20360891878,1795.5,1714.89113152862,1854.5,1806.5,1480,1791,86.0209483587075
"2004/2005",2005,121,121,100,46.1345802251752,202.828823553472,63.0020508209144,89.7663766681003,2104.97791783256,1998,1936.7780571691,1941.5,2028.5,1513,2002,87.778770704758
"2005/2006",2006,120,120,100,38.1471133962208,175.029767313504,57.9910316228695,83.8831786485876,1939.85259032178,1920.5,1904.62723190586,1820.5,1953,1213,1929.5,88.1294315959566
"2006/2007",2007,120,120,100,38.3900260441909,184.355611855825,63.8722175027992,85.7299368561513,1880.36433844225,1786,1779.66846598428,1723,1838.5,1278,1792,83.215016018615
"2007/2008",2008,120,120,100,45.2247428830332,184.869372015966,72.6280324191037,92.9580489790719,1925.45126916513,1744.5,1596.12653728132,1815.5,1723,1489,1695,81.5513655702982
"2008/2009",2009,121,121,100,38.4121075104265,203.143662691251,65.6942391201585,90.3973087415408,1946.9729209439,1807.5,1754.82608508872,1804.5,1831,1357,1801.5,85.931446691332
"2009/2010",2010,120,120,100,38.2140041003281,168.361671951698,65.5667767930946,87.6832882969054,1964.34803731141,1857,1871.87705335382,1829,1897,1312,1885.5,87.1668921088274
"2010/2011",2011,120,120,100,50.5539546970459,202.407675643978,63.1000027355096,88.4906876688477,2208.68897450615,2157.5,2103.0022988815,2082.5,2188.5,1564,2188,91.1442702231054
"2011/2012",2012,120,120,100,49.0138989505378,188.021820423494,66.0258067982776,90.903747428376,2117.86170961769,2008,1887.8772314488,1996.5,1986,1612,1967.5,85.6850523662742
"2012/2013",2013,121,121,100,41.7822574557874,189.558575213686,66.7260109221313,90.9414193467443,1902.04836840407,1723.5,1688.62568133886,1766.5,1738,1330,1706,84.3475727560128
"2013/2014",2014,120,120,100,45.4895775773759,179.809804065572,70.2790658466389,92.0537046919888,2027.5084477288,1850.5,1739.96273002001,1875,1841.5,1529,1818,84.2105319381826
"2014/2015",2015,120,120,100,29.1227637107997,127.800051851133,76.9284442249155,92.4003755708989,1454.94096050393,1126,950.946356139447,1273,1107,1143,990,67.2555565955195
"2015/2016",2016,120,120,100,42.6143270731966,165.139783941921,63.8788943770867,87.6819893665648,1968.25929996589,1856,1814.7959293058,1816,1898.5,1337,1854,86.1136538812295
"2016/2017",2017,121,121,100,39.255781508871,176.671937765055,65.4685169487439,87.710060331473,1777.29093024246,1592.5,1467.95060625058,1595.5,1626,1270,1515.5,78.0618842201832
"2017/2018",2018,120,120,100,32.7562120337256,141.512270588423,69.0673954987909,88.0627109052148,1682.29962558393,1515.5,1420.57915400334,1504,1523.5,1123,1446.5,76.0307627222205
"2018/2019",2019,120,120,100,44.5560154625933,156.767145723023,77.7276079019181,92.8506928408651,1852.11388901821,1663.5,1492.45876145426,1713.5,1638.5,1459,1599.5,77.4785880482086
"2019/2020",2020,120,120,100,37.7734106249681,167.502378536787,62.7020259935054,86.9929025920896,1853.9000815117,1726.5,1619.76726529837,1712.5,1721.5,1299,1665,82.1339007480801
"2020/2021",2021,121,121,100,38.8041409919035,172.786037618976,59.3154644609853,85.1833578584118,1901.039943144,1800,1770.48636420812,1729.5,1881,1226,1802,82.5184368260557
