"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.6222968096037,192.488013569843,73.8350820222509,93.6904768328131,1944.41226313178,1736,1683.67591246481,1796,1737.5,1458,1735,84.2934754234322
"2002/2003",2003,120,120,100,49.0340266845909,193.576511501473,80.1179538320388,93.7390470739877,2010.44935065833,1846,1681.10708404672,1884,1818.5,1624,1814,83.0386951383054
"2003/2004",2004,120,120,100,51.0875477159753,206.896510651635,82.2643046833307,101.680635018334,1888.98339998997,1596.5,1387.37645630265,1748,1518,1641,1512,81.2648363139606
"2004/2005",2005,121,121,100,60.2794149448356,242.93509967646,75.386621073658,100.423296843613,2175.24540909022,1915.5,1673.53955013945,2039,1849.5,1896,1842,88.739185020136
"2005/2006",2006,120,120,100,57.3864214487267,232.744748959864,69.5773287856508,95.4398247842277,2168.21693305417,1957,1845.31958342018,2036.5,1961,1697,1957,87.1193621150179
"2006/2007",2007,120,120,100,57.2161793072993,232.901982767223,76.3618155156372,95.5858643176401,2051.88966227987,1870,1672.12771247668,1923,1844.5,1684,1835,83.488057855384
"2007/2008",2008,120,120,100,51.8565946474586,195.733196848002,86.4993105821025,100.599243935288,1830.06358287109,1510.5,1324.79756075783,1683,1433.5,1557,1433,77.5357463870284
"2008/2009",2009,121,121,100,55.1885069261903,242.66345614235,78.7178541043555,98.8415494753822,1980.72581495067,1752,1563.15207569901,1866,1707.5,1668,1707.5,80.4885474979428
"2009/2010",2010,120,120,100,53.8902497368789,209.360772943247,78.4521035848223,97.3151340630494,2087.14113500628,1859,1694.86904233356,1938,1834.5,1708,1834,83.6708547077712
"2010/2011",2011,120,120,100,61.9568108963725,238.806821330181,75.845311432037,99.844466550795,2243.953691548,1973,1734.30518487332,2122.5,1905.5,1925,1905.5,88.2548801112439
"2011/2012",2012,120,120,100,60.0986881101188,209.481001447079,78.81427535797,100.834857192553,2126.17757068006,1838,1605.3168936201,2004,1778,1854,1777.5,83.1265276009651
"2012/2013",2013,121,121,100,46.5938837106684,194.8000993263,79.8151306516507,99.5040125634995,1925.14848813115,1671,1514.19273474383,1779.5,1631,1560,1630.5,83.1502343546226
