"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"1",10,-20,-15,0,0
"2",10,-20,-14,0,0
"3",10,-20,-13,0,0
"4",10,-20,-12,0,0
"5",10,-20,-11,0,0
"6",10,-20,-10,0,0
"7",10,-20,-9,0,0
"8",10,-20,-8,0,0
"9",10,-20,-7,0,0
"10",10,-20,-6,0,0
"11",10,-20,-5,0,0
"12",10,-20,-4,0,0
"13",10,-20,-3,0,0
"14",10,-20,-2,0.0000000206351419393779,0
"15",10,-20,-1,0.000000639819045942649,0
"16",10,-20,0,0.0000129250715289671,0
"17",10,-20,1,0.000252956717403209,0
"18",10,-20,2,0.00478095640060278,0
"19",10,-20,3,0.0742615240747647,0
"20",10,-20,4,0.275422918875376,0
"21",10,-20,5,0.307370089878274,0.00833041071986667
"22",10,-20,6,0.313503203310875,0.047981569773598
"23",10,-20,7,0.312810938322785,0.126109466274749
"24",10,-20,8,0.352840484086391,0.254748844161227
"25",10,-20,9,0.339205324802413,0.432600135467829
"26",10,-20,10,0.328145501706309,0.657086631618647
"27",10,-20,11,0.306277623117992,0.930496340248591
"28",10,-20,12,0.346400807458171,1.25247962818832
"29",10,-20,13,0.351332600013802,1.61682257676505
"30",10,-20,14,0.347609834051462,2.01566522555144
"31",10,-20,15,0.310992818984254,2.44055339565882
"32",10,-20,16,0.259328825932665,2.88345279561282
"33",10,-20,17,0.276124115976165,3.33689527005013
"34",10,-20,18,0.212739207868598,3.79327220446744
"35",10,-20,19,0.209454456213648,4.24489430481085
"36",10,-20,20,0.190806726776964,4.68411063160737
"37",10,-20,21,0.0635542991846657,5.10315861781831
"38",10,-20,22,0,5.4947566332039
"39",10,-20,23,0,5.85203703306906
"40",10,-20,24,0,6.16859893926306
"41",10,-20,25,0,5.44282279238021
"42",10,-20,26,0,3.68545058930158
"43",10,-20,27,0,3.90892040158919
"44",10,-20,28,0,4.10978447149505
"45",10,-20,29,0,2.6965607602412
"46",10,-20,30,0,2.465332028182
"47",10,-19,-15,0,0
"48",10,-19,-14,0,0
"49",10,-19,-13,0,0
"50",10,-19,-12,0,0
"51",10,-19,-11,0,0
"52",10,-19,-10,0,0
"53",10,-19,-9,0,0
"54",10,-19,-8,0,0
"55",10,-19,-7,0,0
"56",10,-19,-6,0,0
"57",10,-19,-5,0,0
"58",10,-19,-4,0,0
"59",10,-19,-3,0,0
"60",10,-19,-2,0.0000000231783386024226,0
"61",10,-19,-1,0.000000657112850009155,0
"62",10,-19,0,0.000013270834383717,0
"63",10,-19,1,0.000259224641101925,0
"64",10,-19,2,0.00489061884059191,0
"65",10,-19,3,0.0758047047557129,0
"66",10,-19,4,0.28231812717661,0
"67",10,-19,5,0.314986651513496,0.00857220672496166
"68",10,-19,6,0.299339720095441,0.0487518278116791
"69",10,-19,7,0.333905535587805,0.12871976419027
"70",10,-19,8,0.358990523898334,0.259777751961799
"71",10,-19,9,0.319084264513804,0.439948880616824
"72",10,-19,10,0.334632869272777,0.66784314332518
